frequency_hz,comparison_runs_ekf_pr_doppler_diverged_epochs,comparison_runs_ekf_pr_doppler_mean_clock_bias_abs_error_m,comparison_runs_ekf_pr_doppler_mean_clock_drift_abs_error_mps,comparison_runs_ekf_pr_doppler_mean_innovation_pr_m,comparison_runs_ekf_pr_doppler_mean_innovation_rr_mps,comparison_runs_ekf_pr_doppler_mean_position_error_3d_m,comparison_runs_ekf_pr_doppler_mean_velocity_error_3d_mps,comparison_runs_ekf_pr_doppler_prediction_only_epochs,comparison_runs_ekf_pr_only_diverged_epochs,comparison_runs_ekf_pr_only_mean_clock_bias_abs_error_m,comparison_runs_ekf_pr_only_mean_clock_drift_abs_error_mps,comparison_runs_ekf_pr_only_mean_innovation_pr_m,comparison_runs_ekf_pr_only_mean_position_error_3d_m,comparison_runs_ekf_pr_only_mean_velocity_error_3d_mps,comparison_runs_ekf_pr_only_prediction_only_epochs,comparison_runs_epoch_wls_mean_clock_bias_abs_error_m,comparison_runs_epoch_wls_mean_position_error_3d_m,comparison_runs_epoch_wls_mean_residual_rms_m,comparison_runs_epoch_wls_valid_epochs,degradation_window_s_end_s,degradation_window_s_start_s,ekf_pr_doppler_mean_clock_bias_error_m,ekf_pr_doppler_mean_clock_drift_error_mps,ekf_pr_doppler_mean_innovation_pr_m,ekf_pr_doppler_mean_innovation_rr_mps,ekf_pr_doppler_mean_position_error_3d_m,ekf_pr_doppler_mean_velocity_error_3d_mps,ekf_pr_doppler_prediction_only_epochs,ekf_pr_only_mean_clock_bias_error_m,ekf_pr_only_mean_clock_drift_error_mps,ekf_pr_only_mean_innovation_pr_m,ekf_pr_only_mean_position_error_3d_m,ekf_pr_only_mean_velocity_error_3d_mps,ekf_pr_only_prediction_only_epochs,epoch_wls_mean_position_error_3d_m,epoch_wls_mean_residual_rms_m,legacy_dynamic_range_rate_sigma_100ms_mps,legacy_effective_pseudorange_bias_m,legacy_effective_pseudorange_rmse_m,legacy_effective_pseudorange_sigma_100ms_m,legacy_effective_pseudorange_sigma_1s_m,legacy_tau_g_median_m,legacy_tau_g_span_m,time_axes_navigation_rate_hz,time_axes_num_navigation_epochs,time_axes_receiver_sample_rate_hz,time_axes_tracking_output_rate_hz
19000000000.0,0.0,6868.604006503326,1046.586130331035,14408.992995779847,564.7177429784965,11896.840540890653,1902.2522910881391,52.0,0.0,7185.819253074477,1160.3798493072932,27724.469309010226,52100.63598900768,6231.248922794998,52.0,9709.452727490747,15360.413242590472,11134.279197786873,167.0,12.693999000000002,10.077999000000002,6868.604006503326,1046.586130331035,14408.992995779847,564.7177429784965,11896.840540890653,1902.2522910881391,52.0,7185.819253074477,1160.3798493072932,27724.469309010226,52100.63598900768,6231.248922794998,52.0,15360.413242590472,11134.279197786873,50.061975325159594,-1831.7109126865498,3037.832399926246,3440.3225500122394,2771.32315442188,0.14679063030010583,0.04647270334889292,10.0,219.0,500000.0,1000.0000000001102
19500000000.0,0.0,217987.52051002585,22184.11569882644,50575.58939065238,7125.331426028718,321813.5032043355,32289.112771753946,54.0,0.0,283002.42670927703,26890.435864797244,87075.209254753,387316.90783955064,36618.09830165021,54.0,7311.265855886037,11198.04868108867,6858.905840612883,165.0,12.693999000000002,10.077999000000002,217987.52051002585,22184.11569882644,50575.58939065238,7125.331426028718,321813.5032043355,32289.112771753946,54.0,283002.42670927703,26890.435864797244,87075.209254753,387316.90783955064,36618.09830165021,54.0,11198.04868108867,6858.905840612883,49.79872359402704,-1189.7090365519455,2242.546741629754,2245.2912217531275,2066.470989064014,0.14640314346652417,0.04488052763457917,10.0,219.0,500000.0,1000.0000000001102
20000000000.0,0.0,44723.04052058114,4166.487382275985,12941.668501851234,1518.3594404735397,65193.81931593641,5864.988234972479,60.0,0.0,62936.34274889457,5599.198204528552,31154.061806965583,75894.63521478193,7594.732842418625,60.0,6025.899455349276,9064.186291538468,5810.413927649511,159.0,12.693999000000002,10.077999000000002,44723.04052058114,4166.487382275985,12941.668501851234,1518.3594404735397,65193.81931593641,5864.988234972479,60.0,62936.34274889457,5599.198204528552,31154.061806965583,75894.63521478193,7594.732842418625,60.0,9064.186291538468,5810.413927649511,46.18565440328292,-1270.3572181820678,2294.6026060581553,2280.0554671758,2088.682861335096,0.14609024046292624,0.043233460862591666,10.0,219.0,500000.0,1000.0000000001102
20500000000.0,0.0,9776.04244222991,1988.4887488707056,9088.911008533983,752.9733732751791,15749.867968307735,2904.5720330471368,57.0,0.0,15919.92434264119,2525.3173501824217,14587.896598822883,29738.581422621428,4071.45435012826,57.0,6531.496545689814,10204.406378611642,6365.579664030404,162.0,12.693999000000002,10.077999000000002,9776.04244222991,1988.4887488707056,9088.911008533983,752.9733732751791,15749.867968307735,2904.5720330471368,57.0,15919.92434264119,2525.3173501824217,14587.896598822883,29738.581422621428,4071.45435012826,57.0,10204.406378611642,6365.579664030404,48.14538940369321,-1362.796785665654,2494.978449969917,2423.804919845644,2270.449494503022,0.14575716011823278,0.039625683450942445,10.0,219.0,500000.0,1000.0000000001102
21000000000.0,0.0,75701.52207264288,8546.752632544354,21522.15523996404,2468.2625915418903,112395.59786872467,12469.172557848808,51.0,0.0,116397.08172830568,11630.30687443508,30123.87397792277,155476.49903528247,15787.385435245174,51.0,5699.631095561602,8784.806824076464,6732.1975975298865,168.0,12.693999000000002,10.077999000000002,75701.52207264288,8546.752632544354,21522.15523996404,2468.2625915418903,112395.59786872467,12469.172557848808,51.0,116397.08172830568,11630.30687443508,30123.87397792277,155476.49903528247,15787.385435245174,51.0,8784.806824076464,6732.1975975298865,40.950279290483564,-993.090728332514,1973.8590326591561,2144.955512528776,1867.22855924919,0.14543566704645347,0.03509345864365618,10.0,219.0,500000.0,1000.0000000001102
21500000000.0,0.0,144067.0606094381,15472.314519057816,36698.34951454125,5099.971673770799,205438.58241974367,22765.2733725822,53.0,0.0,220016.95537076957,20967.94077409006,76073.18340604003,315075.0184226261,31167.52908921895,53.0,6029.758825510053,9550.541919375659,7617.316865331711,166.0,12.693999000000002,10.077999000000002,144067.0606094381,15472.314519057816,36698.34951454125,5099.971673770799,205438.58241974367,22765.2733725822,53.0,220016.95537076957,20967.94077409006,76073.18340604003,315075.0184226261,31167.52908921895,53.0,9550.541919375659,7617.316865331711,40.296805310290566,-1245.0079027098222,2398.9824240755534,2400.6684256902577,2221.389586188883,0.1451532814607685,0.03577558870652239,10.0,219.0,500000.0,1000.0000000001102
22000000000.0,0.0,39136.26250347666,4288.38025118547,14077.550925502575,1283.552952553013,54952.9646045092,6547.8021724039145,52.0,0.0,60168.59461301376,5798.288712504841,19522.295197477815,105900.20570258608,11288.792893037682,52.0,6152.629827160045,9281.839263835609,6326.586892617887,167.0,12.693999000000002,10.077999000000002,39136.26250347666,4288.38025118547,14077.550925502575,1283.552952553013,54952.9646045092,6547.8021724039145,52.0,60168.59461301376,5798.288712504841,19522.295197477815,105900.20570258608,11288.792893037682,52.0,9281.839263835609,6326.586892617887,38.67661608915098,-1199.0463920437646,2304.3443302367887,2460.8371329435217,2158.542777195892,0.14488263248466357,0.03591633012081161,10.0,219.0,500000.0,1000.0000000001102
22500000000.0,0.0,28881.40346724755,3340.832289298128,11112.874849284603,934.0965814456649,43577.24347329981,5017.750900069832,52.0,0.0,45459.883366987575,4519.551041403503,12853.977051801252,74261.1376547891,7761.9901377516735,52.0,5734.151927674369,8700.476641809992,6602.697521230242,167.0,12.693999000000002,10.077999000000002,28881.40346724755,3340.832289298128,11112.874849284603,934.0965814456649,43577.24347329981,5017.750900069832,52.0,45459.883366987575,4519.551041403503,12853.977051801252,74261.1376547891,7761.9901377516735,52.0,8700.476641809992,6602.697521230242,38.34093634170648,-1165.1999522326914,2208.0204486245366,2297.9445160370205,2052.4170084732777,0.14463625659073076,0.035813853040757404,10.0,219.0,500000.0,1000.0000000001102
23000000000.0,0.0,10609.146620973987,1491.3240462573433,8727.637053769971,477.4795970819823,16334.845984553525,2207.581663548299,54.0,0.0,18805.839567907795,2169.4176173985834,11971.815135858535,28575.601426724883,3580.115300708721,54.0,5611.886904399099,8483.53027613556,5991.700528081354,165.0,12.693999000000002,10.077999000000002,10609.146620973987,1491.3240462573433,8727.637053769971,477.4795970819823,16334.845984553525,2207.581663548299,54.0,18805.839567907795,2169.4176173985834,11971.815135858535,28575.601426724883,3580.115300708721,54.0,8483.53027613556,5991.700528081354,37.18013865509046,-936.0318590001349,1796.2069168995463,2007.48086515777,1694.9525447609208,0.14438201067253936,0.03784514143232984,10.0,219.0,500000.0,1000.0000000001102
23500000000.0,0.0,12522.50588302222,1412.4962736376572,8399.904319386467,568.0329262090635,18170.677687191877,2298.0752547111806,51.0,0.0,19308.15916252221,1869.7721130510652,18046.20065439931,51173.369781870904,6042.979074225722,51.0,6159.916673671479,9242.642739106886,5273.746731212476,168.0,12.693999000000002,10.077999000000002,12522.50588302222,1412.4962736376572,8399.904319386467,568.0329262090635,18170.677687191877,2298.0752547111806,51.0,19308.15916252221,1869.7721130510652,18046.20065439931,51173.369781870904,6042.979074225722,51.0,9242.642739106886,5273.746731212476,37.22173460455701,-931.3508932605229,2003.3498642848242,2162.4442149085753,1919.7167584384677,0.1441664566646948,0.035498920242752974,10.0,219.0,500000.0,1000.0000000001102
