case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.150542,0.800000,0.426472,20380961.963698,2.369288,0.150542,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.098520,0.140575
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.160434,-0.600000,-0.368288,20615625.842841,2.455251,0.160434,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.485630,-0.474904
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.176069,1.100000,0.569030,20938996.457212,2.586502,0.176069,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.616400,0.591627
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.199936,-0.900000,-0.499921,21352422.667285,2.777342,0.199936,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.440705,-0.482304
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.225941,0.400000,0.713803,21724302.112861,2.974180,0.225941,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.568822,0.553236
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.270321,-0.700000,-0.526142,22228252.561410,3.288387,0.270321,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.749481,-0.737206
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.328405,1.600000,0.733415,22718518.057663,3.667073,0.328405,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.683379,0.702581
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.384503,-1.300000,-0.560793,23068158.070901,4.005662,0.384503,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.291305,-0.301417
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.209487,1.040000,0.346320,20357764.703438,2.886002,0.209487,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,5.713246,0.364153
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.240117,-0.780000,-0.623040,20853621.277170,3.115199,0.240117,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-1.978581,-0.848444
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.302809,1.430000,1.241571,21601198.362269,3.547345,0.302809,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-3.728383,1.441618
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.459766,-1.170000,-2.689187,22697221.571128,4.481978,0.459766,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-6.660820,-2.927225
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.815707,0.520000,5.869911,23778655.151924,6.178854,0.815707,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,6.940399,3.166145
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.294871,-0.910000,10.303766,24387109.489992,8.959797,1.294871,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,10.501815,4.614297
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.039017,2.080000,-21.102541,24817960.416498,13.189088,2.039017,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-28.925207,-29.271088
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.785918,-1.690000,35.455800,25038165.427960,16.116273,2.785918,5.121469,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,18.137533,26.681205
