frequency_hz,case_a_ls_position_error_3d_m,case_a_pdop,case_a_wls_position_error_3d_m,case_b_ls_position_error_3d_m,case_b_pdop,case_b_wls_position_error_3d_m,effective_pseudorange_bias_m,effective_pseudorange_rmse_m,effective_pseudorange_sigma_100ms_m,effective_pseudorange_sigma_1s_m,experiments_A_dops_GDOP,experiments_A_dops_HDOP,experiments_A_dops_PDOP,experiments_A_dops_TDOP,experiments_A_dops_VDOP,experiments_A_ls_clock_bias_m,experiments_A_ls_clock_bias_s,experiments_A_ls_converged,experiments_A_ls_enu_error_m_east,experiments_A_ls_enu_error_m_north,experiments_A_ls_enu_error_m_up,experiments_A_ls_iterations,experiments_A_ls_position_error_3d_m,experiments_A_ls_residual_rms_m,experiments_A_num_satellites,experiments_A_wls_clock_bias_m,experiments_A_wls_clock_bias_s,experiments_A_wls_converged,experiments_A_wls_enu_error_m_east,experiments_A_wls_enu_error_m_north,experiments_A_wls_enu_error_m_up,experiments_A_wls_iterations,experiments_A_wls_position_error_3d_m,experiments_A_wls_weighted_residual_rms_m,experiments_B_dops_GDOP,experiments_B_dops_HDOP,experiments_B_dops_PDOP,experiments_B_dops_TDOP,experiments_B_dops_VDOP,experiments_B_ls_clock_bias_m,experiments_B_ls_clock_bias_s,experiments_B_ls_converged,experiments_B_ls_enu_error_m_east,experiments_B_ls_enu_error_m_north,experiments_B_ls_enu_error_m_up,experiments_B_ls_iterations,experiments_B_ls_position_error_3d_m,experiments_B_ls_residual_rms_m,experiments_B_num_satellites,experiments_B_wls_clock_bias_m,experiments_B_wls_clock_bias_s,experiments_B_wls_converged,experiments_B_wls_enu_error_m_east,experiments_B_wls_enu_error_m_north,experiments_B_wls_enu_error_m_up,experiments_B_wls_iterations,experiments_B_wls_position_error_3d_m,experiments_B_wls_weighted_residual_rms_m,legacy_effective_pseudorange_bias_m,legacy_effective_pseudorange_rmse_m,legacy_effective_pseudorange_sigma_100ms_m,legacy_effective_pseudorange_sigma_1s_m,legacy_tau_g_median_m,legacy_tau_g_span_m,monte_carlo_ls_mean_m,monte_carlo_ls_p90_m,monte_carlo_num_runs,monte_carlo_stats_LS_mean_m,monte_carlo_stats_LS_p90_m,monte_carlo_stats_LS_std_m,monte_carlo_stats_WLS_mean_m,monte_carlo_stats_WLS_p90_m,monte_carlo_stats_WLS_std_m,monte_carlo_wls_mean_m,monte_carlo_wls_p90_m,tau_g_median_m,tau_g_span_m
19000000000.0,842.8965601717033,3.555851564906343,734.1026040846778,15870.179071443357,2.1040175018509686,4426.806274496877,-1831.7109126865498,3037.832399926246,3440.3225500122394,2771.32315442188,4.32480148903137,1.4279257363997195,3.555851564906343,2.461671701888996,3.2565485476151297,-447.0771156059998,-1.4912887355091493e-06,1.0,269.0018783623067,27.679838377751253,-798.3397942819977,4.0,842.8965601717033,287.4084655788351,8.0,-368.50947425267935,-1.2292152935104169e-06,1.0,230.40263747512057,45.190132208766784,-695.5423135362561,4.0,734.1026040846778,0.17700255727960248,2.3345717240459307,1.1512697647243384,2.1040175018509686,1.0116004579969304,1.7610984006939414,9757.442074031216,3.254732336872603e-05,1.0,-6203.266557347431,-3069.744632467995,14281.412243528568,5.0,15870.179071443357,7206.760956936259,8.0,3771.1055716745723,1.2579054179123386e-05,1.0,685.9886453629647,-1487.9852297857292,4112.41210560147,5.0,4426.806274496877,1.0533213862535766,-1831.7109126865498,3037.832399926246,3440.3225500122394,2771.32315442188,0.14679063030010583,0.04647270334889292,9250.33547242553,17244.754323345624,120.0,9250.33547242553,17244.754323345624,6025.63201619826,6648.120415607995,11541.906621852064,3605.26122814974,6648.120415607995,11541.906621852064,0.14679063030010583,0.04647270334889292
19500000000.0,628.5113180945929,3.555851564906343,547.3892389902948,11835.455991347762,2.1040175018509686,3300.960520390469,-1189.7090365519455,2242.546741629754,2245.2912217531275,2066.470989064014,4.32480148903137,1.4279257363997195,3.555851564906343,2.461671701888996,3.2565485476151297,-302.8430884038051,-1.0101758077042921e-06,1.0,200.5828755474536,20.63971852217543,-595.287316368695,4.0,628.5113180945929,214.30964991457995,8.0,-244.25956520521785,-8.147622086117251e-07,1.0,171.8013793059452,33.69641828849538,-518.6364973904898,4.0,547.3892389902948,0.17700256028467895,2.3345717240459307,1.1512697647243384,2.1040175018509686,1.0116004579969304,1.7610984006939414,7307.817644354005,2.4376255804120347e-05,1.0,-4626.351993326542,-2289.2393538340198,10650.552517960314,5.0,11835.455991347762,5373.765876120367,8.0,2842.568860403257,9.481789099588546e-06,1.0,511.5117001190182,-1109.5466670160736,3066.529362574471,5.0,3300.960520390469,1.0533216609489415,-1189.7090365519455,2242.546741629754,2245.2912217531275,2066.470989064014,0.14640314346652417,0.04488052763457917,6372.277230015259,11571.050715984045,120.0,6372.277230015259,11571.050715984045,3933.6383210327444,4562.579366505181,8299.076547601337,2677.963120566908,4562.579366505181,8299.076547601337,0.14640314346652417,0.04488052763457917
20000000000.0,635.2671494325541,3.555851564906343,553.2730669729099,11962.61875495506,2.1040175018509686,3336.4396903381507,-1270.3572181820678,2294.6026060581553,2280.0554671758,2088.682861335096,4.32480148903137,1.4279257363997195,3.555851564906343,2.461671701888996,3.2565485476151297,-307.38825692015257,-1.0253368579410779e-06,1.0,202.7389332562486,20.861571527225237,-601.6860235402646,4.0,635.2671494325541,216.61319913906368,8.0,-248.17499256882493,-8.27822668470282e-07,1.0,173.64805749609775,34.058615884941474,-524.2112641382708,4.0,553.2730669729099,0.1770025601905473,2.3345717240459307,1.1512697647243384,2.1040175018509686,1.0116004579969304,1.7610984006939414,7385.028227551054,2.46338025873588e-05,1.0,-4676.053434828089,-2313.837835137437,10764.986122783504,5.0,11962.61875495506,5431.528248468192,8.0,2871.8304663854333,9.57939531082344e-06,1.0,517.009916072361,-1121.472457362177,3099.4886806253426,5.0,3336.4396903381507,1.0533216522931304,-1270.3572181820678,2294.6026060581553,2280.0554671758,2088.682861335096,0.14609024046292624,0.043233460862591666,6507.467639162556,12093.866862783862,120.0,6507.467639162556,12093.866862783862,4448.9491700287,4716.097175543037,9026.145173936693,2980.094424626996,4716.097175543037,9026.145173936693,0.14609024046292624,0.043233460862591666
20500000000.0,690.5523329094426,3.555851564906343,601.4223395359479,13003.188737421497,2.1040175018509686,3626.7752474885388,-1362.796785665654,2494.978449969917,2423.804919845644,2270.449494503022,4.32480148903137,1.4279257363997195,3.555851564906343,2.461671701888996,3.2565485476151297,-344.5829038052164,-1.1494048452853888e-06,1.0,220.3826638917646,22.67706575542269,-654.0487417856314,4.0,690.5523329094426,235.4638558528216,8.0,-280.21623688097566,-9.347007551503369e-07,1.0,188.76002694576766,37.022595006666364,-569.8313874992308,4.0,601.4223395359479,0.1770025594147966,2.3345717240459307,1.1512697647243384,2.1040175018509686,1.0116004579969304,1.7610984006939414,8016.827140626662,2.674125691523121e-05,1.0,-5082.755108348072,-2515.1285519245357,11701.395054302748,5.0,13003.188737421497,5904.2167471556695,8.0,3111.285286016286,1.0378130613333462e-05,1.0,562.0036256569749,-1219.0645822830134,3369.20349114848,5.0,3626.7752474885388,1.0533215814555614,-1362.796785665654,2494.978449969917,2423.804919845644,2270.449494503022,0.14575716011823278,0.039625683450942445,6710.777403163698,11862.93405888893,120.0,6710.777403163698,11862.93405888893,4261.77363111474,4832.839031595195,8363.879632009053,2525.4752418194976,4832.839031595195,8363.879632009053,0.14575716011823278,0.039625683450942445
21000000000.0,567.9110678897799,3.555851564906343,494.6108905110826,10694.744560289608,2.1040175018509686,2982.707508407282,-993.090728332514,1973.8590326591561,2144.955512528776,1867.22855924919,4.32480148903137,1.4279257363997195,3.555851564906343,2.461671701888996,3.2565485476151297,-262.07267905312494,-8.741803606451131e-07,1.0,181.242900412327,18.649680477781317,-537.8904921077469,4.0,567.9110678897799,193.64661220442073,8.0,-209.1379464799251,-6.976090988917576e-07,1.0,155.2365502852748,30.447479030989115,-468.63044874223755,4.0,494.6108905110826,0.17700256113410467,2.3345717240459307,1.1512697647243384,2.1040175018509686,1.0116004579969304,1.7610984006939414,6615.185314320009,2.2065883039392567e-05,1.0,-4180.501188117183,-2068.581361375238,9624.029414822355,5.0,10694.744560289608,4855.633681370177,8.0,2580.0873617653338,8.606245063594407e-06,1.0,462.19234861287737,-1002.570916185175,2770.8796205559906,5.0,2982.707508407282,1.0533217385964329,-993.090728332514,1973.8590326591561,2144.955512528776,1867.22855924919,0.14543566704645347,0.03509345864365618,6365.295309593131,11583.268682320791,120.0,6365.295309593131,11583.268682320791,3764.406180804241,4490.1942030054515,8335.679266353205,2581.75648750006,4490.1942030054515,8335.679266353205,0.14543566704645347,0.03509345864365618
21500000000.0,675.6305076513779,3.555851564906343,588.4265461387351,12722.340066055756,2.1040175018509686,3548.4121936762594,-1245.0079027098222,2398.9824240755534,2400.6684256902577,2221.389586188883,4.32480148903137,1.4279257363997195,3.555851564906343,2.461671701888996,3.2565485476151297,-334.5438228589219,-1.1159180757606714e-06,1.0,215.62050736324704,22.187052528510435,-639.9157088037234,4.0,675.6305076513779,230.37595021054784,8.0,-271.5680965677842,-9.058536641631732e-07,1.0,184.68121023445582,36.22259850292693,-557.5182276345712,4.0,588.4265461387351,0.17700255962462896,2.3345717240459307,1.1512697647243384,2.1040175018509686,1.0116004579969304,1.7610984006939414,7846.30769675037,2.6172465275128337e-05,1.0,-4972.987499910487,-2460.800078210785,11448.659094286086,5.0,12722.340066055756,5776.635081765791,8.0,3046.655334684145,1.01625483009454e-05,1.0,549.8595342334805,-1192.7239352875038,3296.4061040829297,5.0,3548.4121936762594,1.0533216005752104,-1245.0079027098222,2398.9824240755534,2400.6684256902577,2221.389586188883,0.1451532814607685,0.03577558870652239,6891.981908217592,12580.078492443956,120.0,6891.981908217592,12580.078492443956,4513.919661451816,4944.760680541567,8418.84342992647,2646.546957820917,4944.760680541567,8418.84342992647,0.1451532814607685,0.03577558870652239
22000000000.0,656.515348330246,3.555851564906343,571.7786684090554,12362.558787135395,2.1040175018509686,3448.0271368719496,-1199.0463920437646,2304.3443302367887,2460.8371329435217,2158.542777195892,4.32480148903137,1.4279257363997195,3.555851564906343,2.461671701888996,3.2565485476151297,-321.68356557418093,-1.0730208749086707e-06,1.0,209.52008936250408,21.559335376348145,-621.8110081084467,4.0,656.515348330246,223.8582324147617,8.0,-260.4896577020024,-8.688999697984476e-07,1.0,179.45616297580696,35.19778635066976,-541.7448172836042,4.0,571.7786684090554,0.17700255989207087,2.3345717240459307,1.1512697647243384,2.1040175018509686,1.0116004579969304,1.7610984006939414,7627.86114468056,2.5443806010225112e-05,1.0,-4832.368895819791,-2391.2029317156116,11124.891871809214,5.0,12362.558787135395,5613.2004052596185,8.0,2963.8625886627533,9.88638142678944e-06,1.0,534.3027090085992,-1158.9809345878566,3203.150783995862,5.0,3448.0271368719496,1.0533216250673352,-1199.0463920437646,2304.3443302367887,2460.8371329435217,2158.542777195892,0.14488263248466357,0.03591633012081161,7021.2592634652565,12352.742943137577,120.0,7021.2592634652565,12352.742943137577,4366.6256129413605,5073.658467947756,8601.654155927627,2905.295355839955,5073.658467947756,8601.654155927627,0.14488263248466357,0.03591633012081161
22500000000.0,624.2367443962264,3.555851564906343,543.6664020611463,11754.99650057307,2.1040175018509686,3278.5119841831074,-1165.1999522326914,2208.0204486245366,2297.9445160370205,2052.4170084732777,4.32480148903137,1.4279257363997195,3.555851564906343,2.461671701888996,3.2565485476151297,-299.96725374953513,-1.0005830558603816e-06,1.0,199.2186870700203,20.49934687116877,-591.2387035321289,4.0,624.2367443962264,212.85213945310605,8.0,-241.78218228517915,-8.064985486899045e-07,1.0,170.63294244295005,33.467247297221945,-515.1092107909928,4.0,543.6664020611463,0.1770025603453727,2.3345717240459307,1.1512697647243384,2.1040175018509686,1.0116004579969304,1.7610984006939414,7258.964130421916,2.421329802240027e-05,1.0,-4594.904424087581,-2273.675222565617,10578.147146087387,5.0,11754.99650057307,5337.218262679101,8.0,2824.054318331085,9.420031234845425e-06,1.0,508.03284937445915,-1102.0009311321755,3045.675196433878,5.0,3278.5119841831074,1.0533216664261014,-1165.1999522326914,2208.0204486245366,2297.9445160370205,2052.4170084732777,0.14463625659073076,0.035813853040757404,6095.84209014751,11944.258053027146,120.0,6095.84209014751,11944.258053027146,4021.073784738584,4599.311249036288,8936.674890093938,2752.5864861754785,4599.311249036288,8936.674890093938,0.14463625659073076,0.035813853040757404
23000000000.0,515.5129541243191,3.555851564906343,448.975960862579,9708.34936507477,2.1040175018509686,2707.525806620659,-936.0318590001349,1796.2069168995463,2007.48086515777,1694.9525447609208,4.32480148903137,1.4279257363997195,3.555851564906343,2.461671701888996,3.2565485476151297,-226.82054535212637,-7.565918998273345e-07,1.0,164.52056232991657,16.928987637138107,-488.2622244431899,4.0,515.5129541243191,175.78020739210388,8.0,-178.77000781992464,-5.963125590701973e-07,1.0,140.91373492900658,27.638273490651187,-425.3925934701846,4.0,448.975960862579,0.17700256186858343,2.3345717240459307,1.1512697647243384,2.1040175018509686,1.0116004579969304,1.7610984006939414,6016.229422191004,2.0067981237176435e-05,1.0,-3794.958339157064,-1877.7774285288888,8736.377425873803,5.0,9708.34936507477,4407.629867838156,8.0,2353.1279549564038,7.849189971805108e-06,1.0,419.54829298056256,-910.0732308433414,2515.2419243238433,5.0,2707.525806620659,1.05332180573384,-936.0318590001349,1796.2069168995463,2007.48086515777,1694.9525447609208,0.14438201067253936,0.03784514143232984,5287.553095285384,9618.627379487029,120.0,5287.553095285384,9618.627379487029,3585.463685648738,3794.0361115243813,6681.652760884118,2342.4846825400928,3794.0361115243813,6681.652760884118,0.14438201067253936,0.03784514143232984
23500000000.0,583.8755034833661,3.555851564906343,508.5147409637524,10995.261074959155,2.1040175018509686,3066.5480283554716,-931.3508932605229,2003.3498642848242,2162.4442149085753,1919.7167584384677,4.32480148903137,1.4279257363997195,3.555851564906343,2.461671701888996,3.2565485476151297,-272.81316344829906,-9.100067602377745e-07,1.0,186.3377926766814,19.17393335409949,-553.0110223748428,4.0,583.8755034833661,199.09005944033254,8.0,-218.3903273043825,-7.284717192731463e-07,1.0,159.60036385886195,31.30337507450548,-481.8039687907271,4.0,508.5147409637524,0.17700256091010436,2.3345717240459307,1.1512697647243384,2.1040175018509686,1.0116004579969304,1.7610984006939414,6797.659735866217,2.2674552192591237e-05,1.0,-4297.959902327397,-2126.7125564853686,9894.463122705816,5.0,10995.261074959155,4992.12960747813,8.0,2649.235598415524,8.836898753522092e-06,1.0,475.1849607230007,-1030.7525513362848,2848.765564455463,5.0,3066.5480283554716,1.0533217181412888,-931.3508932605229,2003.3498642848242,2162.4442149085753,1919.7167584384677,0.1441664566646948,0.035498920242752974,5984.380871416778,10590.327035223245,120.0,5984.380871416778,10590.327035223245,3420.711865211281,4026.1289698921,6656.585324408587,2240.6143624132324,4026.1289698921,6656.585324408587,0.1441664566646948,0.035498920242752974
