epoch_idx,t_s,sat_id,valid,degradation_applied,azimuth_deg,elevation_deg,geometric_range_m,geometric_range_rate_mps,sat_clock_bias_s,sat_clock_drift_mps,tropo_delay_m,dispersive_delay_m,hardware_bias_m,pseudorange_m,pseudorange_sigma_m,range_rate_mps,range_rate_sigma_mps,legacy_snr_db,legacy_lock_metric,legacy_loss_flag,legacy_pr_error_m,legacy_rr_error_mps,measurement_note
0,0.049999,G01,0,0,18.006783,74.141959,20392591.623601,618.770038,2.800833893560e-08,0.050000,2.598701,0.148593,0.800000,20386325.338971,18056.442119,433.469353,560.303052,17.446422,-0.290704,1,214.750210,-0.392775,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G02,0,0,62.129330,66.178322,20626135.907809,-1880.741106,-1.700500336136e-08,-0.030000,2.732285,0.158224,-0.600000,20627216.964653,22283.147793,-1692.677377,534.689339,17.446422,-0.290704,1,214.750210,-0.392775,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G03,0,0,109.219277,56.160266,21041227.944853,-4276.503465,1.300333557424e-08,0.020000,3.008528,0.178524,1.100000,21040967.369045,23488.207403,-4577.188455,609.714994,17.446422,-0.290704,1,214.750210,-0.392775,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G04,0,0,152.236850,45.093330,21659656.241804,-5460.043915,-3.100667114848e-08,-0.040000,3.526292,0.217869,-0.900000,21651760.659540,23374.955534,-5704.571739,660.425558,17.446422,-0.290704,1,214.750210,-0.392775,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G05,0,0,208.187294,30.998215,22691539.878540,-4431.959732,2.200500336136e-08,0.030000,4.840890,0.324462,0.400000,22702178.601606,26604.122752,-4764.831691,759.107871,17.446422,-0.290704,1,214.750210,-0.392775,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G06,0,0,253.076699,21.903413,23492210.500338,-1881.305810,-8.003335574239e-09,-0.020000,6.660625,0.485552,-0.700000,23479514.410717,36142.470008,-1966.149758,756.729697,17.446422,-0.290704,1,214.750210,-0.392775,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G07,0,0,301.946354,14.838159,24185384.437152,1059.910437,3.600166778712e-08,0.010000,9.626218,0.777042,1.600000,24166264.725398,45583.147068,852.771375,869.005812,17.446422,-0.290704,1,214.750210,-0.392775,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G08,0,0,341.829172,10.822309,24604957.603171,2023.428476,-1.500833893560e-08,-0.050000,12.965062,1.145301,-1.300000,24617932.086000,71363.829781,1869.810406,1171.372641,17.446422,-0.290704,1,214.750210,-0.392775,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G01,1,0,18.020341,74.143712,20392644.758397,436.471565,2.802501714036e-08,0.050000,2.598678,0.148709,0.800000,20390901.661387,4761.984693,464.339719,126.792076,17.260409,0.507949,0,121.303161,-1.252877,legacy single-channel background mapped to dynamic multisat observation
1,0.149999,G02,1,0,62.133476,66.177027,20625938.203673,-2048.152341,-1.701501028421e-08,-0.030000,2.732313,0.158351,-0.600000,20623597.255075,5424.567396,-2058.883853,137.391690,17.260409,0.507949,0,121.303161,-1.252877,legacy single-channel background mapped to dynamic multisat observation
1,0.149999,G03,1,0,109.226156,56.155860,21040792.672607,-4378.124705,1.301000685614e-08,0.020000,3.008683,0.178676,1.100000,21043984.535267,5711.802298,-4407.718290,157.457665,17.260409,0.507949,0,121.303161,-1.252877,legacy single-channel background mapped to dynamic multisat observation
1,0.149999,G04,1,0,152.232903,45.086807,21659107.042988,-5464.979199,-3.102001371229e-08,-0.040000,3.526691,0.218072,-0.900000,21659932.431843,5988.002681,-5432.447661,139.472332,17.260409,0.507949,0,121.303161,-1.252877,legacy single-channel background mapped to dynamic multisat observation
1,0.149999,G05,1,0,208.183423,30.991924,22691098.753060,-4338.698608,2.201501028421e-08,0.030000,4.841768,0.324793,0.400000,22691770.816570,8035.473242,-4370.092105,169.962337,17.260409,0.507949,0,121.303161,-1.252877,legacy single-channel background mapped to dynamic multisat observation
1,0.149999,G06,1,0,253.065839,21.898808,23492029.133843,-1718.155601,-8.010006856143e-09,-0.020000,6.661938,0.486058,-0.700000,23490270.711673,9400.714681,-1732.826897,176.898133,17.260409,0.507949,0,121.303161,-1.252877,legacy single-channel background mapped to dynamic multisat observation
1,0.149999,G07,1,0,301.938925,14.837029,24185499.751922,1243.237537,3.600500342807e-08,0.010000,9.626914,0.777730,1.600000,24187029.871105,13861.005919,1292.783580,230.036103,17.260409,0.507949,0,121.303161,-1.252877,legacy single-channel background mapped to dynamic multisat observation
1,0.149999,G08,1,0,341.821148,10.825437,24605169.056589,2171.224193,-1.502501714036e-08,-0.050000,12.961560,1.145799,-1.300000,24607424.595224,18268.921343,2062.149471,328.491795,17.260409,0.507949,0,121.303161,-1.252877,legacy single-channel background mapped to dynamic multisat observation
2,0.249999,G01,1,0,18.033878,74.145238,20392679.504674,253.364009,2.804169534512e-08,0.050000,2.598659,0.148226,0.800000,20386556.042276,11265.875231,6.616051,280.548638,17.359398,0.227962,1,-5.394022,-1.119622,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
