epoch_idx,t_s,sat_id,valid,degradation_applied,azimuth_deg,elevation_deg,geometric_range_m,geometric_range_rate_mps,sat_clock_bias_s,sat_clock_drift_mps,tropo_delay_m,dispersive_delay_m,hardware_bias_m,pseudorange_m,pseudorange_sigma_m,range_rate_mps,range_rate_sigma_mps,legacy_snr_db,legacy_lock_metric,legacy_loss_flag,legacy_pr_error_m,legacy_rr_error_mps,measurement_note
0,0.049999,G01,0,0,18.006783,74.141959,20392591.623601,618.770038,2.800833893560e-08,0.050000,2.598701,0.148143,0.800000,20388993.994029,22362.166504,506.219790,367.300904,17.678975,-0.237345,1,193.496189,-0.258785,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G02,0,0,62.129330,66.178322,20626135.907809,-1880.741106,-1.700500336136e-08,-0.030000,2.732285,0.157744,-0.600000,20628480.926601,23886.711166,-2390.163084,486.369524,17.678975,-0.237345,1,193.496189,-0.258785,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G03,0,0,109.219277,56.160266,21041227.944853,-4276.503465,1.300333557424e-08,0.020000,3.008528,0.177982,1.100000,21043769.702122,23681.354602,-4400.408443,497.523992,17.678975,-0.237345,1,193.496189,-0.258785,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G04,0,0,152.236850,45.093330,21659656.241804,-5460.043915,-3.100667114848e-08,-0.040000,3.526292,0.217209,-0.900000,21652456.751582,25889.307001,-5464.906986,464.061374,17.678975,-0.237345,1,193.496189,-0.258785,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G05,0,0,208.187294,30.998215,22691539.878540,-4431.959732,2.200500336136e-08,0.030000,4.840890,0.323478,0.400000,22683834.262178,33609.214446,-4318.297050,568.108625,17.678975,-0.237345,1,193.496189,-0.258785,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G06,0,0,253.076699,21.903413,23492210.500338,-1881.305810,-8.003335574239e-09,-0.020000,6.660625,0.484080,-0.700000,23471197.520778,44708.823419,-2148.638368,682.958066,17.678975,-0.237345,1,193.496189,-0.258785,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G07,0,0,301.946354,14.838159,24185384.437152,1059.910437,3.600166778712e-08,0.010000,9.626218,0.774687,1.600000,24176657.928528,53532.050603,1102.262931,793.381332,17.678975,-0.237345,1,193.496189,-0.258785,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G08,0,0,341.829172,10.822309,24604957.603171,2023.428476,-1.500833893560e-08,-0.050000,12.965062,1.141829,-1.300000,24640584.731332,73193.202382,2593.692550,908.359671,17.678975,-0.237345,1,193.496189,-0.258785,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G01,1,0,18.020341,74.143712,20392644.758397,436.471565,2.802501714036e-08,0.050000,2.598678,0.148226,0.800000,20392555.976820,12910.675663,435.907401,252.597920,17.511498,0.334829,1,133.144699,-1.033881,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G02,1,0,62.133476,66.177027,20625938.203673,-2048.152341,-1.701501028421e-08,-0.030000,2.732313,0.157837,-0.600000,20629670.536519,15485.954155,-2154.289302,265.200236,17.511498,0.334829,1,133.144699,-1.033881,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G03,1,0,109.226156,56.155860,21040792.672607,-4378.124705,1.301000685614e-08,0.020000,3.008683,0.178096,1.100000,21049498.246968,16481.916912,-4405.858570,331.546076,17.511498,0.334829,1,133.144699,-1.033881,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G04,1,0,152.232903,45.086807,21659107.042988,-5464.979199,-3.102001371229e-08,-0.040000,3.526691,0.217364,-0.900000,21662404.629541,18759.857586,-5487.146861,316.973734,17.511498,0.334829,1,133.144699,-1.033881,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G05,1,0,208.183423,30.991924,22691098.753060,-4338.698608,2.201501028421e-08,0.030000,4.841768,0.323737,0.400000,22674630.093808,18810.249545,-4538.465605,378.097741,17.511498,0.334829,1,133.144699,-1.033881,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
