frequency_hz,comparison_runs_ekf_pr_doppler_diverged_epochs,comparison_runs_ekf_pr_doppler_mean_clock_bias_abs_error_m,comparison_runs_ekf_pr_doppler_mean_clock_drift_abs_error_mps,comparison_runs_ekf_pr_doppler_mean_innovation_pr_m,comparison_runs_ekf_pr_doppler_mean_innovation_rr_mps,comparison_runs_ekf_pr_doppler_mean_position_error_3d_m,comparison_runs_ekf_pr_doppler_mean_velocity_error_3d_mps,comparison_runs_ekf_pr_doppler_prediction_only_epochs,comparison_runs_ekf_pr_only_diverged_epochs,comparison_runs_ekf_pr_only_mean_clock_bias_abs_error_m,comparison_runs_ekf_pr_only_mean_clock_drift_abs_error_mps,comparison_runs_ekf_pr_only_mean_innovation_pr_m,comparison_runs_ekf_pr_only_mean_position_error_3d_m,comparison_runs_ekf_pr_only_mean_velocity_error_3d_mps,comparison_runs_ekf_pr_only_prediction_only_epochs,comparison_runs_epoch_wls_mean_clock_bias_abs_error_m,comparison_runs_epoch_wls_mean_position_error_3d_m,comparison_runs_epoch_wls_mean_residual_rms_m,comparison_runs_epoch_wls_valid_epochs,degradation_window_s_end_s,degradation_window_s_start_s,ekf_pr_doppler_mean_clock_bias_error_m,ekf_pr_doppler_mean_clock_drift_error_mps,ekf_pr_doppler_mean_innovation_pr_m,ekf_pr_doppler_mean_innovation_rr_mps,ekf_pr_doppler_mean_position_error_3d_m,ekf_pr_doppler_mean_velocity_error_3d_mps,ekf_pr_doppler_prediction_only_epochs,ekf_pr_only_mean_clock_bias_error_m,ekf_pr_only_mean_clock_drift_error_mps,ekf_pr_only_mean_innovation_pr_m,ekf_pr_only_mean_position_error_3d_m,ekf_pr_only_mean_velocity_error_3d_mps,ekf_pr_only_prediction_only_epochs,epoch_wls_mean_position_error_3d_m,epoch_wls_mean_residual_rms_m,legacy_dynamic_range_rate_sigma_100ms_mps,legacy_effective_pseudorange_bias_m,legacy_effective_pseudorange_rmse_m,legacy_effective_pseudorange_sigma_100ms_m,legacy_effective_pseudorange_sigma_1s_m,legacy_tau_g_median_m,legacy_tau_g_span_m,time_axes_navigation_rate_hz,time_axes_num_navigation_epochs,time_axes_receiver_sample_rate_hz,time_axes_tracking_output_rate_hz
19000000000.0,0.0,18210.81145443627,1411.8083723574334,8047.419224226133,489.30671727094204,26216.003486402897,1943.1332944408146,121.0,0.0,20192.141229268516,1568.0591647632546,13791.774889421116,29149.459851496184,2686.3045106685513,121.0,8789.93817568394,12843.22253325276,4696.4791462908,98.0,12.693999000000002,10.077999000000002,18210.81145443627,1411.8083723574334,8047.419224226133,489.30671727094204,26216.003486402897,1943.1332944408146,121.0,20192.141229268516,1568.0591647632546,13791.774889421116,29149.459851496184,2686.3045106685513,121.0,12843.22253325276,4696.4791462908,49.8345788308693,-1367.0273053405647,2347.357527213004,2322.7557174746225,2105.39400326019,0.14679063030010583,0.04647270334889292,10.0,219.0,500000.0,1000.0000000001102
19500000000.0,0.0,36902.48168973151,3858.03625989059,10235.972695788114,1192.7106579691228,59137.36318274344,5659.229036223173,110.0,0.0,40231.756353376375,4107.577670164371,14464.721827644991,63255.12663715806,6030.971855035767,110.0,8726.554260089926,12615.716309621965,4080.576125846264,109.0,12.693999000000002,10.077999000000002,36902.48168973151,3858.03625989059,10235.972695788114,1192.7106579691228,59137.36318274344,5659.229036223173,110.0,40231.756353376375,4107.577670164371,14464.721827644991,63255.12663715806,6030.971855035767,110.0,12615.716309621965,4080.576125846264,49.21183423922006,-1397.6396600138557,2548.743574935207,2475.54041584435,2316.266186237503,0.14640314346652417,0.04488052763457917,10.0,219.0,500000.0,1000.0000000001102
20000000000.0,0.0,16689.115475460352,1743.8823591756113,6681.682550078338,467.16661048757334,24687.268848944135,2727.078637757264,102.0,0.0,18236.498959849076,1844.6204505294368,9336.57007882182,39861.03122525454,4174.214749927446,102.0,9479.984318745119,13706.495822214592,3910.3480203626896,117.0,12.693999000000002,10.077999000000002,16689.115475460352,1743.8823591756113,6681.682550078338,467.16661048757334,24687.268848944135,2727.078637757264,102.0,18236.498959849076,1844.6204505294368,9336.57007882182,39861.03122525454,4174.214749927446,102.0,13706.495822214592,3910.3480203626896,47.28440690576194,-1477.3183329850542,2662.820943641008,2566.397758972074,2406.6134165879257,0.14609024046292624,0.043233460862591666,10.0,219.0,500000.0,1000.0000000001102
20500000000.0,0.0,182682.00974780353,17833.754452572146,39639.3744360449,4773.059376041562,269818.4783949152,26520.05568577667,118.0,0.0,197661.53063582774,19008.449543594234,52179.00507211746,303860.4743141084,29445.69049837299,118.0,8270.415389254571,12624.408899097567,4611.8694695362265,101.0,12.693999000000002,10.077999000000002,182682.00974780353,17833.754452572146,39639.3744360449,4773.059376041562,269818.4783949152,26520.05568577667,118.0,197661.53063582774,19008.449543594234,52179.00507211746,303860.4743141084,29445.69049837299,118.0,12624.408899097567,4611.8694695362265,44.32482074739161,-1407.502554563183,2528.124370195162,2608.6190980048427,2315.6760901159128,0.14575716011823278,0.039625683450942445,10.0,219.0,500000.0,1000.0000000001102
21000000000.0,0.0,11250.351742464434,1787.897370376947,7102.756295797004,521.1957845241878,17036.15272198324,2930.208183251653,110.0,0.0,12281.235073439295,1848.816516439278,12860.946379094625,35110.55291063589,4492.56949323438,110.0,7397.961684329358,10955.102997286504,4863.485951701105,109.0,12.693999000000002,10.077999000000002,11250.351742464434,1787.897370376947,7102.756295797004,521.1957845241878,17036.15272198324,2930.208183251653,110.0,12281.235073439295,1848.816516439278,12860.946379094625,35110.55291063589,4492.56949323438,110.0,10955.102997286504,4863.485951701105,45.23688662466213,-1218.8913217308825,2246.868226250163,2287.9900251012778,2068.8400661519186,0.14543566704645347,0.03509345864365618,10.0,219.0,500000.0,1000.0000000001102
21500000000.0,0.0,64207.03033288286,7078.834856998489,15437.334613882154,1894.1058823531835,95088.26541232868,10248.402419408443,121.0,0.0,74414.1399244898,7852.708571923255,20463.44673561282,97512.08610493231,10216.821181634323,121.0,8311.000113641534,11996.89043740821,4337.542273909894,98.0,12.693999000000002,10.077999000000002,64207.03033288286,7078.834856998489,15437.334613882154,1894.1058823531835,95088.26541232868,10248.402419408443,121.0,74414.1399244898,7852.708571923255,20463.44673561282,97512.08610493231,10216.821181634323,121.0,11996.89043740821,4337.542273909894,40.052618101274234,-1184.9057190146066,2186.4614164287955,2255.4926449905556,2016.203593608615,0.1451532814607685,0.03577558870652239,10.0,219.0,500000.0,1000.0000000001102
22000000000.0,0.0,32166.214752501925,3154.4050153339513,9690.727375707855,863.2066659473462,45871.40981597399,4705.584471386107,100.0,0.0,36519.53907177396,3475.50417336302,11274.315908675595,55729.74415989684,5539.590571506327,100.0,6868.7610151354065,10576.198197890937,4025.0916432814147,119.0,12.693999000000002,10.077999000000002,32166.214752501925,3154.4050153339513,9690.727375707855,863.2066659473462,45871.40981597399,4705.584471386107,100.0,36519.53907177396,3475.50417336302,11274.315908675595,55729.74415989684,5539.590571506327,100.0,10576.198197890937,4025.0916432814147,38.568969677757025,-1140.4055065621367,2128.3634804560716,2244.7420493410873,1974.4035920171737,0.14488263248466357,0.03591633012081161,10.0,219.0,500000.0,1000.0000000001102
22500000000.0,0.0,49259.75026905307,5148.1248541367995,12202.96318686575,1467.2604457031287,71172.75373990774,7388.5632353259125,100.0,0.0,59288.13132541879,5924.760678294813,22782.411514706087,73590.5251589883,7544.540678707973,100.0,8504.237008861417,12818.892711870494,2797.3356395118963,119.0,12.693999000000002,10.077999000000002,49259.75026905307,5148.1248541367995,12202.96318686575,1467.2604457031287,71172.75373990774,7388.5632353259125,100.0,59288.13132541879,5924.760678294813,22782.411514706087,73590.5251589883,7544.540678707973,100.0,12818.892711870494,2797.3356395118963,37.764893285958586,-1238.2115616019687,2342.8132152304715,2335.753319648937,2160.2283954754507,0.14463625659073076,0.035813853040757404,10.0,219.0,500000.0,1000.0000000001102
23000000000.0,0.0,2808.9177847898663,31.50383215125188,6239.906695771641,452.0616346726593,3585.927344393691,673.0851316109446,96.0,0.0,4626.457623840958,156.56758297097755,27693.579330820983,55375.49341000562,6049.041141111449,96.0,8361.09254378784,12322.52622335407,4245.202539584566,123.0,12.693999000000002,10.077999000000002,2808.9177847898663,31.50383215125188,6239.906695771641,452.0616346726593,3585.927344393691,673.0851316109446,96.0,4626.457623840958,156.56758297097755,27693.579330820983,55375.49341000562,6049.041141111449,96.0,12322.52622335407,4245.202539584566,35.521634158702476,-1190.3050475268944,2278.62802159003,2309.6867588882737,2113.612439395064,0.14438201067253936,0.03784514143232984,10.0,219.0,500000.0,1000.0000000001102
23500000000.0,0.0,101114.22115588553,8463.215884029276,23585.809085653415,2474.7184182686156,159136.7401182945,14061.405114493571,169.0,0.0,101311.5625326619,8479.993587699282,28335.692854770074,165339.17334894458,14608.49411220183,169.0,18577.291426905944,24689.88007730729,4950.014345719614,50.0,12.693999000000002,10.077999000000002,101114.22115588553,8463.215884029276,23585.809085653415,2474.7184182686156,159136.7401182945,14061.405114493571,169.0,101311.5625326619,8479.993587699282,28335.692854770074,165339.17334894458,14608.49411220183,169.0,24689.88007730729,4950.014345719614,144.42855710668448,-8249.278746044163,9261.18790645924,4965.7812295373205,4900.269361244307,0.1441664566646948,0.035498920242752974,10.0,219.0,500000.0,1000.0000000001102
