case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.149534,0.800000,0.639910,20380962.176128,3.555053,0.149534,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.147826,0.210930
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.159360,-0.600000,-0.552606,20615625.657450,3.684038,0.159360,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.728675,-0.712581
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.174891,1.100000,0.853815,20938996.740818,3.880975,0.174891,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.924891,0.887720
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.198598,-0.900000,-0.750119,21352422.415750,4.167326,0.198598,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.661266,-0.723685
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.224429,0.400000,1.071042,21724302.468588,4.462676,0.224429,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.853502,0.830115
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.268512,-0.700000,-0.789462,22228252.296281,4.934136,0.268512,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-1.124575,-1.106158
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.326207,1.600000,1.100469,22718518.422519,5.502343,0.326207,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,1.025391,1.054204
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.381930,-1.300000,-0.841454,23068157.787667,6.010388,0.381930,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.437095,-0.452268
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.208085,1.040000,0.519644,20357764.875360,4.330367,0.208085,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,8.572568,0.546401
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.238510,-0.780000,-0.934854,20853620.963748,4.674272,0.238510,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-2.968808,-1.273067
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.300783,1.430000,1.862943,21601198.981615,5.322694,0.300783,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-5.594336,2.163108
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.456690,-1.170000,-4.035052,22697220.222186,6.725086,0.456690,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-9.994379,-4.392222
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.810248,0.520000,8.807642,23778658.084196,9.271202,0.810248,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,10.413878,4.750714
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.286206,-0.910000,15.460521,24387114.638081,13.443931,1.286206,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,15.757685,6.923627
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.025372,2.080000,-31.663790,24817949.841604,19.789869,2.025372,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-43.401489,-43.920472
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.767275,-1.690000,53.200466,25038183.153982,24.182030,2.767275,7.684625,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,27.214881,40.034424
