aiding_fraction,ekf_mean_position_error_3d_m,ekf_mean_velocity_error_3d_mps,frequency_hz,height_km,imu_carrier_aiding_rate_mean,imu_code_aiding_rate_mean,ins_final_attitude_error_deg,ins_final_position_error_3d_m,ins_final_velocity_error_3d_mps,ins_mean_attitude_error_deg,ins_mean_position_error_3d_m,ins_mean_velocity_error_3d_mps,label,prediction_only_epochs,single_effective_pseudorange_sigma_1s_m,single_fd_rmse_hz,single_tau_rmse_ns,speed_kms,valid_wls_epochs,wls_mean_position_error_3d_m
1.0,46.137277293092204,2.725931974527993,18000000000.0,70.0,720.8170606476476,-0.24294358021244408,0.00022776082292252017,2.975990882106521,0.013327435310754835,0.0017160832827118194,1.4768043414576624,0.13581304772752187,h70km_v7.90kms_18p0GHz,189,8556.11869695728,42224.916677552654,30268.18277281839,7.9,30,50083.15114386807
1.0,156.84380460749455,4.567625819706136,18000000000.0,70.0,811.251612242669,-0.2610826996220596,0.0003555021605279996,3.2009838128737877,0.015801004104300388,0.0015834906495649978,1.584773535279172,0.1460688406792859,h70km_v8.45kms_18p0GHz,179,5512.410855707444,47641.29267620386,27121.619612657625,8.45,40,33434.82960985187
1.0,102.94460034790403,4.524494167318922,18000000000.0,70.0,906.9085872702185,-0.2793807927847121,0.0005530634707203378,3.3863757724804726,0.013692914088424622,0.0016906067452029743,1.6816922402927328,0.1545223993096031,h70km_v9.00kms_18p0GHz,182,9065.43836953663,52881.19770254349,30674.803110040146,9.0,37,51478.264501469246
1.0,58.9249290207005,3.653064271981142,18000000000.0,80.0,725.0396417167865,-0.2156131166500112,0.0002700949060212576,2.919759478784581,0.014701976364990658,0.0015321685621248091,1.4561362771474435,0.13350055752337012,h80km_v7.90kms_18p0GHz,175,11870.886438894031,35078.304136571016,44840.07763133089,7.9,44,59928.74124632575
1.0,302.9433055322017,2.4432229403111725,18000000000.0,80.0,816.0215744689,-0.23185645918929165,0.00019767764002982124,3.146171393492359,0.014775523472029813,0.001532854119195397,1.562047720017205,0.14359893785076483,h80km_v8.45kms_18p0GHz,194,7566.636764445345,39711.9322918578,24971.311351959645,8.45,25,42180.22369276349
1.0,46.96348730757674,2.524325299234312,18000000000.0,80.0,912.2535732891072,-0.2482599302392923,0.00010852668739029456,3.3465282933685616,0.013096309387464289,0.0016352998403447812,1.6641894467906686,0.15268122682218702,h80km_v9.00kms_18p0GHz,193,7549.227022148383,44050.36782312712,24596.171108338967,9.0,26,36569.48915576346
1.0,54.34523947211213,2.9812777682578786,18000000000.0,90.0,728.5089547806429,-0.19093888881461654,0.00016233378292877137,2.957281148725651,0.015359313142090556,0.0016938468464284936,1.4687740766463822,0.13526916135507797,h90km_v7.90kms_18p0GHz,183,10396.508827623957,30184.107191553314,36885.78202988663,7.9,36,49064.71353657556
1.0,32.79747863523933,3.1602995007051953,18000000000.0,90.0,819.924364189532,-0.2054699111950679,0.0003511075999316622,3.1643005169618417,0.01634721129407498,0.001677745966527351,1.5736182738245752,0.14468372966997325,h90km_v8.45kms_18p0GHz,175,2571.184941777737,33218.126649815895,28989.378590317425,8.45,44,20928.68119428571
1.0,102.18934684480135,3.6002980104869478,18000000000.0,90.0,916.6316751463463,-0.220162061842138,0.0005118926614894126,3.3607656683046065,0.012922577091153718,0.0015316093704787926,1.6705829573252269,0.15331768661448483,h90km_v9.00kms_18p0GHz,178,6828.229750172184,37018.073632860694,22043.115137945766,9.0,41,38124.012710502735
1.0,221.4012437747914,3.3204901707200256,18500000000.0,70.0,740.8393020854089,-0.24294343970207855,0.0002750158515327549,2.947903332240023,0.013127313398886547,0.0015115216757185463,1.4643115422483413,0.13451519181971472,h70km_v7.90kms_18p5GHz,188,10751.78693984827,43891.95877603304,39756.161036275924,7.9,31,40721.662854979055
1.0,82.14252384135055,4.134751994388065,18500000000.0,70.0,833.7813104399014,-0.26108250033515246,0.000624234077734271,3.157814431035221,0.013128559132138512,0.0015039889048059458,1.570125823719481,0.14409338520573173,h70km_v8.45kms_18p5GHz,181,12719.795322071215,49394.2990887096,50210.50791164786,8.45,38,64198.89699105944
1.0,180.82369865836006,4.365497907602139,18500000000.0,70.0,932.0969630681998,-0.27938065058430533,0.0007112913222098505,3.355636625560139,0.014158356981222921,0.0012425703430285864,1.6683327451922942,0.15307219370928185,h70km_v9.00kms_18p5GHz,179,5214.27077217601,55244.38763991616,21246.888084561742,9.0,40,25053.447890705826
1.0,250.32948677792223,2.8833569214317363,18500000000.0,80.0,745.195904925198,-0.21561351091860012,0.00041199156704385394,2.9795330222302363,0.013748017592777474,0.0015882409567698453,1.4721619492456204,0.1359005834259899,h80km_v7.90kms_18p5GHz,187,10126.26316355101,36691.58298720245,36628.92648800986,7.9,32,31906.953370086303
1.0,66.1311648107884,3.857304370121766,18500000000.0,80.0,838.6940385493924,-0.231856789920399,0.0008744842995862758,3.1950061671359045,0.01904351846202815,0.0019343804286944958,1.5816197133435423,0.14594286658002367,h80km_v8.45kms_18p5GHz,181,10360.843128054035,41056.66941366851,34704.58635251874,8.45,38,50113.4460920708
1.0,453.6058163840498,3.7118019561215037,18500000000.0,80.0,937.5942481676402,-0.24826014661871762,0.0007314114937386517,3.374112853439209,0.01712863477151724,0.0016608845210165212,1.6756489757468227,0.15404984322901047,h80km_v9.00kms_18p5GHz,183,8429.055155700742,46194.1411841996,27502.80388391268,9.0,36,54394.304911368316
