epoch_idx,t_s,sat_id,valid,degradation_applied,azimuth_deg,elevation_deg,geometric_range_m,geometric_range_rate_mps,sat_clock_bias_s,sat_clock_drift_mps,tropo_delay_m,dispersive_delay_m,hardware_bias_m,pseudorange_m,pseudorange_sigma_m,range_rate_mps,range_rate_sigma_mps,legacy_snr_db,legacy_lock_metric,legacy_loss_flag,legacy_pr_error_m,legacy_rr_error_mps,measurement_note
0,0.049999,G01,1,0,18.007239,74.143034,20324392.985612,-1406.704850,2.800833893560e-08,0.050000,2.598687,0.150351,0.800000,20319979.522492,22654.586122,301.680314,1182.704642,16.724166,0.280806,1,-10937.090255,554.119888,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G02,1,0,62.131444,66.178973,20559752.711629,-3795.031183,-1.700500336136e-08,-0.030000,2.732272,0.160096,-0.600000,20543652.259514,22494.818494,-3301.380547,1342.922165,16.724166,0.280806,1,-10937.090255,554.119888,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G03,1,0,109.221207,56.160157,20978362.240918,-3576.720632,1.300333557424e-08,0.020000,3.008532,0.180637,1.100000,20981117.014369,23904.398593,-2824.643096,1229.082026,16.724166,0.280806,1,-10937.090255,554.119888,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G04,1,0,152.237796,45.092767,21602250.788760,-1029.318859,-3.100667114848e-08,-0.040000,3.526327,0.220450,-0.900000,21614778.654319,31074.544004,-241.585754,1390.243074,16.724166,0.280806,1,-10937.090255,554.119888,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G05,1,0,208.186960,30.997734,22643506.397475,2161.628907,2.200500336136e-08,0.030000,4.840957,0.328307,0.400000,22595910.486826,35203.769132,2616.248833,1316.244175,16.724166,0.280806,1,-10937.090255,554.119888,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G06,1,0,253.075781,21.903256,23451572.947893,1687.811366,-8.003335574239e-09,-0.020000,6.660670,0.491302,-0.700000,23447289.462843,40014.810368,1701.331150,1453.191327,16.724166,0.280806,1,-10937.090255,554.119888,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G07,1,0,301.945441,14.838259,24151173.169321,-1574.178595,3.600166778712e-08,0.010000,9.626157,0.786231,1.600000,24133164.565743,61469.462426,-1365.590899,2017.552524,16.724166,0.280806,1,-10937.090255,554.119888,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G08,1,0,341.828704,10.822476,24574722.101411,-4721.229490,-1.500833893560e-08,-0.050000,12.964876,1.158833,-1.300000,24591133.015867,88188.685427,-4011.227832,2811.408086,16.724166,0.280806,1,-10937.090255,554.119888,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G01,0,0,18.021718,74.146938,20324243.562915,-1589.227442,2.802501714036e-08,0.050000,2.598637,0.150597,0.800000,20306751.693438,24107.839578,-1117.923456,1291.636797,6.399002,0.090082,1,-10859.649697,553.053259,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G02,0,0,62.139822,66.178979,20559363.630658,-3961.417934,-1.701501028421e-08,-0.030000,2.732272,0.160362,-0.600000,20544717.215450,21451.368911,-3946.292830,1311.793564,6.399002,0.090082,1,-10859.649697,553.053259,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G03,0,0,109.231946,56.155531,20977997.167894,-3673.936588,1.301000685614e-08,0.020000,3.008694,0.180949,1.100000,20971932.065487,23059.909536,-3278.177957,1114.559419,6.399002,0.090082,1,-10859.649697,553.053259,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G04,0,0,152.235741,45.085115,21602144.881527,-1029.876840,-3.102001371229e-08,-0.040000,3.526795,0.220853,-0.900000,21591818.781622,23679.841606,-1030.698816,1155.529498,6.399002,0.090082,1,-10859.649697,553.053259,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G05,0,0,208.182419,30.990481,22643724.719386,2256.658298,2.201501028421e-08,0.030000,4.841970,0.328940,0.400000,22608946.792031,38749.079358,2524.220526,1647.089416,6.399002,0.090082,1,-10859.649697,553.053259,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G06,0,0,253.063083,21.898335,23451748.453925,1850.168396,-8.010006856143e-09,-0.020000,6.662073,0.492251,-0.700000,23415633.196453,41501.328595,3007.396732,1497.969697,6.399002,0.090082,1,-10859.649697,553.053259,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G07,0,0,301.936184,14.837327,24151024.865091,-1395.073670,3.600500342807e-08,0.010000,9.626731,0.787600,1.600000,24146551.935463,55179.844784,-951.509653,2071.750943,6.399002,0.090082,1,-10859.649697,553.053259,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G08,0,0,341.819745,10.825936,24574258.892408,-4577.379896,-1.502501714036e-08,-0.050000,12.961001,1.160303,-1.300000,24600682.422321,76787.601552,-4283.526550,2901.397350,6.399002,0.090082,1,-10859.649697,553.053259,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
2,0.249999,G01,0,0,18.036186,74.150615,20324075.725277,-1772.646504,2.804169534512e-08,0.050000,2.598590,0.149577,0.800000,20315049.232791,24229.648074,-400.502222,1291.269609,3.149698,-0.000600,1,-10652.745699,554.386658,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
2,0.249999,G02,0,0,62.147991,66.178707,20558957.959327,-4124.779397,-1.702501720707e-08,-0.030000,2.732277,0.159280,-0.600000,20554392.445303,25521.093393,-4002.015484,1318.292298,3.149698,-0.000600,1,-10652.745699,554.386658,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
2,0.249999,G03,0,0,109.242344,56.150661,20977622.614837,-3765.122068,1.301667813805e-08,0.020000,3.008865,0.179741,1.100000,20956211.869059,22645.035343,-2782.143092,1351.117735,3.149698,-0.000600,1,-10652.745699,554.386658,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
2,0.249999,G04,0,0,152.233319,45.077328,21602039.278520,-1023.250468,-3.103335627609e-08,-0.040000,3.527271,0.219400,-0.900000,21583166.620749,29560.257076,-1188.907786,1511.074191,3.149698,-0.000600,1,-10652.745699,554.386658,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
2,0.249999,G05,0,0,208.177599,30.983242,22643952.913473,2357.861836,2.202501720707e-08,0.030000,4.842981,0.326806,0.400000,22657906.287579,29521.327770,2798.577510,1283.383419,3.149698,-0.000600,1,-10652.745699,554.386658,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
2,0.249999,G06,0,0,253.050279,21.893574,23451940.454456,2015.758471,-8.016678138047e-09,-0.020000,6.663431,0.489055,-0.700000,23409360.680306,43009.368883,3145.864397,1774.208327,3.149698,-0.000600,1,-10652.745699,554.386658,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
2,0.249999,G07,0,0,301.927024,14.836651,24150894.553295,-1216.705214,3.600833906902e-08,0.010000,9.627147,0.782328,1.600000,24132725.537831,50683.383151,-306.347672,2065.070348,3.149698,-0.000600,1,-10652.745699,554.386658,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
