epoch_idx,t_s,sat_id,valid,degradation_applied,azimuth_deg,elevation_deg,geometric_range_m,geometric_range_rate_mps,sat_clock_bias_s,sat_clock_drift_mps,tropo_delay_m,dispersive_delay_m,hardware_bias_m,pseudorange_m,pseudorange_sigma_m,range_rate_mps,range_rate_sigma_mps,legacy_snr_db,legacy_lock_metric,legacy_loss_flag,legacy_pr_error_m,legacy_rr_error_mps,measurement_note
0,0.049999,G01,0,0,18.007239,74.143034,20314593.658261,-1406.704937,2.800833893560e-08,0.050000,2.598687,0.150639,0.800000,20308486.988994,52089.873691,31.257052,1899.840587,16.971346,-0.278968,1,-10980.385101,359.929256,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G02,0,0,62.131445,66.178974,20550212.433647,-3795.031052,-1.700500336136e-08,-0.030000,2.732272,0.160403,-0.600000,20550794.859145,50181.961553,-4132.017598,1896.571050,16.971346,-0.278968,1,-10980.385101,359.929256,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G03,0,0,109.221207,56.160156,20969306.978817,-3576.720456,1.300333557424e-08,0.020000,3.008532,0.180984,1.100000,20959209.618305,51187.658827,-3108.014812,2161.288280,16.971346,-0.278968,1,-10980.385101,359.929256,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G04,0,0,152.237796,45.092766,21593951.322578,-1029.318312,-3.100667114848e-08,-0.040000,3.526327,0.220873,-0.900000,21608331.078673,60214.914308,-441.623593,2389.986344,16.971346,-0.278968,1,-10980.385101,359.929256,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G05,0,0,208.186960,30.997734,22636535.931422,2161.629123,2.200500336136e-08,0.030000,4.840957,0.328938,0.400000,22581893.720562,73482.072187,2095.556434,2455.648570,16.971346,-0.278968,1,-10980.385101,359.929256,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G06,0,0,253.075780,21.903256,23445686.240320,1687.811487,-8.003335574239e-09,-0.020000,6.660670,0.492246,-0.700000,23415951.142216,86751.609824,2512.655764,2874.560444,16.971346,-0.278968,1,-10980.385101,359.929256,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G07,0,0,301.945440,14.838259,24146254.436774,-1574.178737,3.600166778712e-08,0.010000,9.626157,0.787741,1.600000,24190935.945692,111016.185183,-2996.935031,3389.039330,16.971346,-0.278968,1,-10980.385101,359.929256,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G08,0,0,341.828703,10.822476,24570404.451028,-4721.229684,-1.500833893560e-08,-0.050000,12.964876,1.161059,-1.300000,24550302.905345,198775.810126,-5204.812768,4171.098523,16.971346,-0.278968,1,-10980.385101,359.929256,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G01,0,0,18.021719,74.146939,20314444.235578,-1589.227383,2.802501714036e-08,0.050000,2.598637,0.150908,0.800000,20303708.830162,27503.757748,-93.765864,1167.463373,8.563326,0.019252,1,-10845.671720,359.750622,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G02,0,0,62.139825,66.178980,20549823.352689,-3961.417645,-1.701501028421e-08,-0.030000,2.732272,0.160693,-0.600000,20516981.051414,33462.704400,-3593.020539,1319.139609,8.563326,0.019252,1,-10845.671720,359.750622,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G03,0,0,109.231949,56.155531,20968941.905806,-3673.936264,1.301000685614e-08,0.020000,3.008694,0.181323,1.100000,20945953.199333,29733.839203,-3604.010861,1114.754306,8.563326,0.019252,1,-10845.671720,359.750622,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G04,0,0,152.235742,45.085114,21593845.415352,-1029.876208,-3.102001371229e-08,-0.040000,3.526795,0.221310,-0.900000,21586587.954405,31947.533241,-364.930764,1348.014538,8.563326,0.019252,1,-10845.671720,359.750622,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G05,0,0,208.182419,30.990481,22636754.253336,2256.658531,2.201501028421e-08,0.030000,4.841970,0.329620,0.400000,22592869.481415,50397.783846,2663.681282,1496.844787,8.563326,0.019252,1,-10845.671720,359.750622,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G06,0,0,253.063083,21.898335,23445861.746357,1850.168540,-8.010006856143e-09,-0.020000,6.662073,0.493268,-0.700000,23456531.699221,52903.020989,2868.955382,1896.047510,8.563326,0.019252,1,-10845.671720,359.750622,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G07,0,0,301.936183,14.837327,24146106.132549,-1395.073771,3.600500342807e-08,0.010000,9.626730,0.789227,1.600000,24139151.886178,81902.307772,-488.416368,1952.644303,8.563326,0.019252,1,-10845.671720,359.750622,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
