epoch_idx,t_s,sat_id,valid,degradation_applied,azimuth_deg,elevation_deg,geometric_range_m,geometric_range_rate_mps,sat_clock_bias_s,sat_clock_drift_mps,tropo_delay_m,dispersive_delay_m,hardware_bias_m,pseudorange_m,pseudorange_sigma_m,range_rate_mps,range_rate_sigma_mps,legacy_snr_db,legacy_lock_metric,legacy_loss_flag,legacy_pr_error_m,legacy_rr_error_mps,measurement_note
0,0.049999,G01,1,0,18.007239,74.143034,20314593.658261,-1406.704937,2.800833893560e-08,0.050000,2.598687,0.150351,0.800000,20315250.114607,23029.011781,-1304.697608,1212.116904,16.600145,0.225736,1,-10955.295571,389.247789,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G02,1,0,62.131445,66.178974,20550212.433647,-3795.031052,-1.700500336136e-08,-0.030000,2.732272,0.160096,-0.600000,20536913.663877,24422.298796,-3384.369599,1305.838647,16.600145,0.225736,1,-10955.295571,389.247789,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G03,1,0,109.221207,56.160156,20969306.978817,-3576.720456,1.300333557424e-08,0.020000,3.008532,0.180637,1.100000,20968680.919092,26420.595983,-3165.325457,1135.353465,16.600145,0.225736,1,-10955.295571,389.247789,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G04,1,0,152.237796,45.092766,21593951.322578,-1029.318312,-3.100667114848e-08,-0.040000,3.526327,0.220450,-0.900000,21589550.145268,28688.344758,-909.047329,1404.764282,16.600145,0.225736,1,-10955.295571,389.247789,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G05,1,0,208.186960,30.997734,22636535.931422,2161.629123,2.200500336136e-08,0.030000,4.840957,0.328307,0.400000,22640047.593336,35750.056396,3018.790013,1313.611090,16.600145,0.225736,1,-10955.295571,389.247789,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G06,1,0,253.075780,21.903256,23445686.240320,1687.811487,-8.003335574239e-09,-0.020000,6.660670,0.491302,-0.700000,23389820.621562,48890.493599,2157.706022,1433.830692,16.600145,0.225736,1,-10955.295571,389.247789,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G07,1,0,301.945440,14.838259,24146254.436774,-1574.178737,3.600166778712e-08,0.010000,9.626157,0.786231,1.600000,24119727.364187,68029.483605,-986.209267,1843.980397,16.600145,0.225736,1,-10955.295571,389.247789,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G08,1,0,341.828703,10.822476,24570404.451028,-4721.229684,-1.500833893560e-08,-0.050000,12.964876,1.158833,-1.300000,24579458.151230,95646.673374,-5102.767141,2357.488141,16.600145,0.225736,1,-10955.295571,389.247789,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G01,0,0,18.021719,74.146939,20314444.235578,-1589.227383,2.802501714036e-08,0.050000,2.598637,0.150597,0.800000,20310423.286506,28301.962141,-1082.805388,1157.244443,6.813734,0.078824,1,-10718.167045,388.964100,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G02,0,0,62.139825,66.178980,20549823.352689,-3961.417645,-1.701501028421e-08,-0.030000,2.732272,0.160362,-0.600000,20542637.865072,23950.543572,-3529.260335,1266.398091,6.813734,0.078824,1,-10718.167045,388.964100,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G03,0,0,109.231949,56.155531,20968941.905806,-3673.936264,1.301000685614e-08,0.020000,3.008694,0.180949,1.100000,20949168.952917,28152.531297,-2937.041645,1369.651739,6.813734,0.078824,1,-10718.167045,388.964100,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G04,0,0,152.235742,45.085114,21593845.415352,-1029.876208,-3.102001371229e-08,-0.040000,3.526795,0.220853,-0.900000,21579601.094927,31425.143849,117.906143,1387.027987,6.813734,0.078824,1,-10718.167045,388.964100,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G05,0,0,208.182419,30.990481,22636754.253336,2256.658531,2.201501028421e-08,0.030000,4.841970,0.328940,0.400000,22654169.183921,37262.412145,2451.357703,1292.766475,6.813734,0.078824,1,-10718.167045,388.964100,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G06,0,0,253.063083,21.898335,23445861.746357,1850.168540,-8.010006856143e-09,-0.020000,6.662073,0.492251,-0.700000,23419465.115309,51868.197992,1337.685903,1458.013127,6.813734,0.078824,1,-10718.167045,388.964100,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G07,0,0,301.936183,14.837327,24146106.132549,-1395.073771,3.600500342807e-08,0.010000,9.626730,0.787600,1.600000,24141096.064949,72907.972643,-1620.450559,1958.624223,6.813734,0.078824,1,-10718.167045,388.964100,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G08,0,0,341.819744,10.825936,24569941.242027,-4577.380067,-1.502501714036e-08,-0.050000,12.961001,1.160302,-1.300000,24597267.816416,85981.292468,-3771.463088,2717.752703,6.813734,0.078824,1,-10718.167045,388.964100,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
