t_s,gyro_x_radps,gyro_y_radps,gyro_z_radps,accel_x_mps2,accel_y_mps2,accel_z_mps2,ins_pos_ecef_x_m,ins_pos_ecef_y_m,ins_pos_ecef_z_m,ins_vel_ecef_x_mps,ins_vel_ecef_y_mps,ins_vel_ecef_z_mps,ins_quat_w,ins_quat_x,ins_quat_y,ins_quat_z
0.0,-1.3854505840821768e-05,0.000600603267598386,-0.007401719782947728,-45.30309504301961,51.87544356861512,5.145026313941164,-1656201.7170614246,5097264.758841336,3591181.9960583495,-242.6143302865707,-4938.608152381165,6852.28340073394,0.9945218953682734,0.0,0.0,0.10452846326765354
0.005,-5.22473528375893e-06,0.0006055452537022167,-0.007424096184313123,-45.302375886116074,51.8641015233781,5.136643734159462,-1656202.929405271,5097240.065789406,3591216.2579395436,-242.32320827193075,-4938.612619334613,6852.469076803914,0.994523829422871,-1.913968650074485e-07,1.4896622745409875e-06,0.10451006031867216
0.01,-2.2899733950452957e-05,0.000608938979213168,-0.007409062141318968,-45.31575818835865,51.87152883098968,5.143013626673409,-1656204.1402935549,5097215.3727151025,3591250.520748968,-242.03210528147585,-4938.617102256704,6852.654692905782,0.9945257689800255,-3.6262875026497534e-07,2.993866589828644e-06,0.10449160169886414
0.015,1.5387704402313073e-05,0.0006088603288631943,-0.007377619617315748,-45.31786444417983,51.86372358870271,5.143723389926129,-1656205.349726175,5097190.6796184555,3591284.7844865858,-241.74094275822065,-4938.6215566836845,6852.840354274804,0.9945277042656132,-5.786926664699911e-07,4.501891564095824e-06,0.10447318042237955
0.02,6.73138440928136e-06,0.0005899739640517709,-0.0073952760495545455,-45.3239619935874,51.858098462884186,5.146262317696512,-1656206.5577030114,5097165.98649958,3591319.049152454,-241.44979178798368,-4938.6259934761565,6853.025993013263,0.9945296309969327,-6.995408911121038e-07,6.019721058557181e-06,0.10445483728568308
0.025,-1.0429641247905828e-05,0.0005969167487527731,-0.007391162577496097,-45.32380208617022,51.852194997925004,5.130563213896728,-1656207.764224073,5097141.29335859,3591353.3147464856,-241.15863285709446,-4938.630402080982,6853.211619625681,0.9945315619979032,-8.369798676270172e-07,7.488332410266182e-06,0.10443645021368367
0.03,-8.560020785720814e-06,0.0006206616528582388,-0.007413057119697161,-45.337567862937135,51.8549089664035,5.142330785128606,-1656208.9692893329,5097116.600195419,3591387.581268503,-240.8674710965151,-4938.634866720985,6853.3971873819855,0.9945334915827722,-1.0188994205189836e-06,8.969725222783567e-06,0.10441807333352766
0.035,-4.816996531243505e-06,0.0005966603670101649,-0.007382666857884883,-45.33335160035697,51.85393522810017,5.150405930716037,-1656210.1728986697,5097091.907010077,3591421.8487184616,-240.5762636113746,-4938.63927003298,6853.58279602047,0.9945354265396991,-1.2023694564215184e-06,1.0510643787816466e-05,0.10439964198013092
0.04,2.703159404525621e-06,0.0006135006514382498,-0.00740596452231571,-45.34359768477269,51.84314218092313,5.131454301123157,-1656211.375052061,5097067.213802763,3591456.117096541,-240.28509287521922,-4938.643655277087,6853.768435787819,0.9945373532229483,-1.3702679536579957e-06,1.1992864043923227e-05,0.10438128615123586
0.045,4.6994511587935505e-07,0.0006002224879400386,-0.007402264614999352,-45.33569990460218,51.846436713763666,5.142995709610809,-1656212.575749487,5097042.5205734335,3591490.3864025776,-239.9938775500508,-4938.648076746973,6853.953978806084,0.9945392856431841,-1.5238639853586014e-06,1.3518917354719208e-05,0.10436287236015519
