epoch_idx,t_s,sat_id,valid,degradation_applied,azimuth_deg,elevation_deg,geometric_range_m,geometric_range_rate_mps,sat_clock_bias_s,sat_clock_drift_mps,tropo_delay_m,dispersive_delay_m,hardware_bias_m,pseudorange_m,pseudorange_sigma_m,range_rate_mps,range_rate_sigma_mps,legacy_snr_db,legacy_lock_metric,legacy_loss_flag,legacy_pr_error_m,legacy_rr_error_mps,measurement_note
0,0.049999,G01,0,0,18.006783,74.141959,20392591.623601,618.770038,2.800833893560e-08,0.050000,2.598701,0.149255,0.800000,20386735.340570,12776.724537,590.335886,164.657939,17.312401,-0.360538,1,204.050257,-0.324421,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G02,0,0,62.129330,66.178322,20626135.907809,-1880.741106,-1.700500336136e-08,-0.030000,2.732285,0.158928,-0.600000,20626517.198965,13146.876576,-1902.016681,201.749579,17.312401,-0.360538,1,204.050257,-0.324421,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G03,0,0,109.219277,56.160266,21041227.944853,-4276.503465,1.300333557424e-08,0.020000,3.008528,0.179318,1.100000,21042055.704077,12150.642951,-4301.087987,219.462442,17.312401,-0.360538,1,204.050257,-0.324421,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G04,0,0,152.236850,45.093330,21659656.241804,-5460.043915,-3.100667114848e-08,-0.040000,3.526292,0.218839,-0.900000,21665371.470077,13361.903423,-5463.443572,197.490943,17.312401,-0.360538,1,204.050257,-0.324421,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G05,0,0,208.187294,30.998215,22691539.878540,-4431.959732,2.200500336136e-08,0.030000,4.840890,0.325906,0.400000,22682902.793396,21416.265221,-4393.208935,236.494680,17.312401,-0.360538,1,204.050257,-0.324421,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G06,0,0,253.076699,21.903413,23492210.500338,-1881.305810,-8.003335574239e-09,-0.020000,6.660625,0.487713,-0.700000,23489694.524938,27349.999043,-1804.261814,254.330549,17.312401,-0.360538,1,204.050257,-0.324421,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G07,0,0,301.946354,14.838159,24185384.437152,1059.910437,3.600166778712e-08,0.010000,9.626218,0.780501,1.600000,24197019.623187,31176.848774,1354.294372,378.455929,17.312401,-0.360538,1,204.050257,-0.324421,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G08,0,0,341.829172,10.822309,24604957.603171,2023.428476,-1.500833893560e-08,-0.050000,12.965062,1.150400,-1.300000,24601458.066127,45885.293786,1671.383147,420.105597,17.312401,-0.360538,1,204.050257,-0.324421,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G01,1,0,18.020341,74.143712,20392644.758397,436.471565,2.802501714036e-08,0.050000,2.598678,0.149420,0.800000,20395550.141877,6719.706658,466.342901,107.778712,17.211641,0.244921,1,120.114965,-1.529473,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G02,1,0,62.133476,66.177027,20625938.203673,-2048.152341,-1.701501028421e-08,-0.030000,2.732313,0.159108,-0.600000,20623940.133473,5689.306913,-2049.305034,85.459511,17.211641,0.244921,1,120.114965,-1.529473,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
