epoch_idx,t_s,sat_id,valid,degradation_applied,azimuth_deg,elevation_deg,geometric_range_m,geometric_range_rate_mps,sat_clock_bias_s,sat_clock_drift_mps,tropo_delay_m,dispersive_delay_m,hardware_bias_m,pseudorange_m,pseudorange_sigma_m,range_rate_mps,range_rate_sigma_mps,legacy_snr_db,legacy_lock_metric,legacy_loss_flag,legacy_pr_error_m,legacy_rr_error_mps,measurement_note
0,0.049999,G01,0,0,18.006783,74.141959,20392591.623601,618.770038,2.800833893560e-08,0.050000,2.598701,0.148728,0.800000,20392463.081057,1325.499115,619.074638,0.068058,17.161456,-0.327982,1,187.455115,0.000027,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G02,0,0,62.129330,66.178322,20626135.907809,-1880.741106,-1.700500336136e-08,-0.030000,2.732285,0.158368,-0.600000,20626564.751161,1582.986232,-1880.316570,0.066046,17.161456,-0.327982,1,187.455115,0.000027,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G03,0,0,109.219277,56.160266,21041227.944853,-4276.503465,1.300333557424e-08,0.020000,3.008528,0.178686,1.100000,21041365.256373,1331.972462,-4276.135873,0.070653,17.161456,-0.327982,1,187.455115,0.000027,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G04,0,0,152.236850,45.093330,21659656.241804,-5460.043915,-3.100667114848e-08,-0.040000,3.526292,0.218067,-0.900000,21659042.699647,1542.295346,-5459.634901,0.067174,17.161456,-0.327982,1,187.455115,0.000027,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G05,0,0,208.187294,30.998215,22691539.878540,-4431.959732,2.200500336136e-08,0.030000,4.840890,0.324757,0.400000,22692384.521346,1860.274732,-4431.612973,0.075296,17.161456,-0.327982,1,187.455115,0.000027,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G06,0,0,253.076699,21.903413,23492210.500338,-1881.305810,-8.003335574239e-09,-0.020000,6.660625,0.485994,-0.700000,23492977.472637,2801.579804,-1880.891366,0.099639,17.161456,-0.327982,1,187.455115,0.000027,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G07,0,0,301.946354,14.838159,24185384.437152,1059.910437,3.600166778712e-08,0.010000,9.626218,0.777749,1.600000,24185275.126856,3189.028432,1060.328996,0.105969,17.161456,-0.327982,1,187.455115,0.000027,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G08,0,0,341.829172,10.822309,24604957.603171,2023.428476,-1.500833893560e-08,-0.050000,12.965062,1.146344,-1.300000,24604203.860785,5052.781425,2023.789570,0.167510,17.161456,-0.327982,1,187.455115,0.000027,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G01,0,0,18.020341,74.143712,20392644.758397,436.471565,2.802501714036e-08,0.050000,2.598678,0.148854,0.800000,20392327.628391,1650.344691,436.814144,0.068343,16.991395,-0.450912,1,159.140094,0.009945,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G02,0,0,62.133476,66.177027,20625938.203673,-2048.152341,-1.701501028421e-08,-0.030000,2.732313,0.158506,-0.600000,20626014.253659,1668.642581,-2047.693868,0.059011,16.991395,-0.450912,1,159.140094,0.009945,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
