case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.150152,0.800000,2.254813,20380963.791649,12.526736,0.150152,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.520887,0.743240
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.160019,-0.600000,-1.947185,20615624.263529,12.981234,0.160019,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-2.567591,-2.510881
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.175614,1.100000,3.008538,20938998.896264,13.675170,0.175614,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,3.258987,3.128006
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.199419,-0.900000,-2.643150,21352420.523539,14.684167,0.199419,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-2.330064,-2.550006
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.225356,0.400000,3.773970,21724305.172444,15.724875,0.225356,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,3.007436,2.925029
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.269622,-0.700000,-2.781781,22228250.305072,17.386132,0.269622,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-3.962602,-3.897705
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.327555,1.600000,3.877658,22718521.201058,19.388292,0.327555,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,3.613113,3.714638
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.383509,-1.300000,-2.964984,23068155.665716,21.178459,0.383509,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-1.540166,-1.593630
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.208945,1.040000,1.831040,20357766.187616,15.258668,0.208945,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,30.206608,1.925321
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.239496,-0.780000,-3.294093,20853618.605496,16.470463,0.239496,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-10.461046,-4.485835
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.302026,1.430000,6.564346,21601203.684262,18.755273,0.302026,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-19.712414,7.622024
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.458578,-1.170000,-14.218081,22697210.041045,23.696801,0.458578,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-35.216592,-15.476617
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.813598,0.520000,31.034984,23778680.314887,32.668404,0.813598,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,36.694742,16.739814
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.291523,-0.910000,54.477353,24387153.660231,47.371611,1.291523,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,55.524374,24.396383
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.033745,2.080000,-111.571886,24817869.941881,69.732429,2.033745,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-152.931356,-154.760054
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.778715,-1.690000,187.459435,25038317.424392,85.208834,2.778715,27.077875,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,95.895683,141.067011
