case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.151959,0.800000,179.824409,20381141.363052,999.024495,0.151959,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,41.541315,59.274480
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.161944,-0.600000,-155.290693,20615470.921946,1035.271286,0.161944,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-204.769155,-200.246312
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.177726,1.100000,239.935011,20939235.824850,1090.613688,0.177726,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,259.908796,249.462858
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.201818,-0.900000,-210.794857,21352212.374231,1171.082540,0.201818,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-185.825563,-203.366400
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.228067,0.400000,300.979304,21724602.380488,1254.080432,0.228067,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,239.847031,233.275071
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.272865,-0.700000,-221.850876,22228031.239220,1386.567975,0.272865,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-316.023242,-310.847460
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.331496,1.600000,309.248601,22718826.575940,1546.243003,0.331496,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,288.150449,296.247273
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.388122,-1.300000,-236.461578,23067922.173736,1689.011269,0.388122,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-122.829633,-127.093777
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.211459,1.040000,146.027974,20357910.387063,1216.899783,0.211459,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,2408.489265,153.530763
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.242377,-0.780000,-262.708432,20853359.194038,1313.542158,0.242377,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-834.522271,-357.756557
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.305659,1.430000,523.515615,21601720.639164,1495.758899,0.305659,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-1571.837725,607.900761
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.464094,-1.170000,-1133.911535,22696090.353107,1889.852559,0.464094,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-2808.311088,-1234.253456
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.823385,0.520000,2475.082738,23781124.372428,2605.350250,0.823385,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,2926.075478,1334.982650
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.307059,-0.910000,4344.643982,24391443.842396,3777.951289,1.307059,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,4427.463267,1945.590587
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.058210,2.080000,-8898.011641,24809083.526591,5561.257275,2.058210,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-12196.610118,-12342.329535
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.812141,-1.690000,14950.148262,25053080.146645,6795.521937,2.812141,2159.497814,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,7649.253192,11250.324450
