epoch_idx,t_s,sat_id,valid,degradation_applied,azimuth_deg,elevation_deg,geometric_range_m,geometric_range_rate_mps,sat_clock_bias_s,sat_clock_drift_mps,tropo_delay_m,dispersive_delay_m,hardware_bias_m,pseudorange_m,pseudorange_sigma_m,range_rate_mps,range_rate_sigma_mps,legacy_snr_db,legacy_lock_metric,legacy_loss_flag,legacy_pr_error_m,legacy_rr_error_mps,measurement_note
0,0.249999,G01,0,0,18.033878,74.145238,20392679.504674,253.364009,2.804169534512e-08,0.050000,2.598659,0.149235,0.800000,20393175.955491,681.250191,253.888898,0.428303,16.967295,-0.419812,1,116.912659,0.016908,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.249999,G02,0,0,62.137407,66.175454,20625723.811166,-2212.445488,-1.702501720707e-08,-0.030000,2.732346,0.158916,-0.600000,20625526.485405,840.699644,-2211.894139,0.434927,16.967295,-0.419812,1,116.912659,0.016908,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.249999,G03,0,0,109.232695,56.151211,21040347.482959,-4473.648206,1.301667813805e-08,0.020000,3.008846,0.179323,1.100000,21040574.533403,940.027767,-4473.286391,0.513630,16.967295,-0.419812,1,116.912659,0.016908,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.249999,G04,0,0,152.228592,45.080149,21658557.712477,-5462.688737,-3.103335627609e-08,-0.040000,3.527098,0.218878,-0.900000,21658497.470188,946.527755,-5462.602894,0.553539,16.967295,-0.419812,1,116.912659,0.016908,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.249999,G05,0,0,208.179275,30.985648,22690667.321459,-4239.282943,2.202501720707e-08,0.030000,4.842645,0.326019,0.400000,22690393.198187,1193.471805,-4238.834355,0.483421,16.967295,-0.419812,1,116.912659,0.016908,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.249999,G06,0,0,253.054874,21.894361,23491864.339199,-1551.795528,-8.016678138047e-09,-0.020000,6.663206,0.487900,-0.700000,23492198.881751,1687.095287,-1551.487771,0.602355,16.967295,-0.419812,1,116.912659,0.016908,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.249999,G07,0,0,301.931593,14.836154,24185633.481803,1425.851829,3.600833906902e-08,0.010000,9.627453,0.780545,1.600000,24184847.979103,1824.040890,1426.192394,0.739884,16.967295,-0.419812,1,116.912659,0.016908,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.249999,G08,0,0,341.813398,10.828838,24605395.170923,2314.606004,-1.504169534512e-08,-0.050000,12.957753,1.149418,-1.300000,24605122.473937,2527.307683,2314.555173,0.888096,16.967295,-0.419812,1,116.912659,0.016908,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.749999,G01,0,0,18.100729,74.149261,20392576.065641,-664.404880,2.812508636892e-08,0.050000,2.598607,0.149566,0.800000,20392799.171231,650.436245,-664.030206,0.385858,16.898850,-0.420684,1,-43.815439,0.013200,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.749999,G02,0,0,62.153455,66.163435,20624413.829365,-2978.453641,-1.707505182135e-08,-0.030000,2.732598,0.159291,-0.600000,20624804.369526,862.231116,-2977.922253,0.406484,16.898850,-0.420684,1,-43.815439,0.013200,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.749999,G03,0,0,109.260094,56.124528,21037994.989118,-4854.977667,1.305003454757e-08,0.020000,3.009783,0.179795,1.100000,21038106.776269,948.443866,-4854.811059,0.414672,16.898850,-0.420684,1,-43.815439,0.013200,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.749999,G04,0,0,152.201669,45.045180,21655834.457253,-5343.361777,-3.110006909513e-08,-0.040000,3.529238,0.219536,-0.900000,21656359.041428,813.435138,-5342.505141,0.532908,16.898850,-0.420684,1,-43.815439,0.013200,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.749999,G05,0,0,208.154724,30.954856,22688676.389403,-3655.580993,2.207505182135e-08,0.030000,4.846951,0.327117,0.400000,22688822.225150,1289.467306,-3655.289506,0.535015,16.898850,-0.420684,1,-43.815439,0.013200,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.749999,G06,0,0,252.998952,21.874811,23491298.880519,-680.994657,-8.050034547567e-09,-0.020000,6.668789,0.489514,-0.700000,23491519.228595,1437.429552,-680.813157,0.667795,16.898850,-0.420684,1,-43.815439,0.013200,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.749999,G07,0,0,301.896889,14.835737,24186574.392740,2318.431655,3.602501727378e-08,0.010000,9.627709,0.782323,1.600000,24186219.244754,1935.177266,2319.122511,0.689279,16.898850,-0.420684,1,-43.815439,0.013200,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.749999,G08,0,0,341.779049,10.849878,24606728.991954,2957.839489,-1.512508636892e-08,-0.050000,12.934254,1.149238,-1.300000,24606903.392537,3140.873927,2958.103923,0.925668,16.898850,-0.420684,1,-43.815439,0.013200,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
2,1.249999,G01,0,0,18.164902,74.146851,20392014.986130,-1560.010367,2.820847739272e-08,0.050000,2.598638,0.149402,0.800000,20391978.170692,751.353391,-1559.710498,0.387533,16.901717,-0.445388,1,-56.721853,0.013666,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
2,1.249999,G02,0,0,62.162556,66.144613,20622745.926923,-3630.956806,-1.712508643563e-08,-0.030000,2.732994,0.159142,-0.600000,20623392.204217,764.866532,-3630.569182,0.396487,16.901717,-0.445388,1,-56.721853,0.013666,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
2,1.249999,G03,0,0,109.278388,56.092739,21035493.047561,-5065.977287,1.308339095709e-08,0.020000,3.010902,0.179679,1.100000,21036129.298612,844.761066,-5065.573815,0.441919,16.901717,-0.445388,1,-56.721853,0.013666,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
2,1.249999,G04,0,0,152.166249,45.008356,21653215.663067,-5048.623163,-3.116678191417e-08,-0.040000,3.531496,0.219468,-0.900000,21653033.431775,883.476378,-5048.312192,0.475665,16.901717,-0.445388,1,-56.721853,0.013666,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
