mode,epoch_idx,t_s,rx_m,ry_m,rz_m,vx_mps,vy_mps,vz_mps,cb_m,cd_mps,truth_rx_m,truth_ry_m,truth_rz_m,truth_vx_mps,truth_vy_mps,truth_vz_mps,truth_cb_m,truth_cd_mps,cov_rx,cov_ry,cov_rz,cov_vx,cov_vy,cov_vz,cov_cb,cov_cd,pos_err_3d_m,vel_err_3d_mps,cb_err_m,cd_err_mps,innovation_rms_pr_m,innovation_rms_rr_mps,num_valid_sats,prediction_only,diverged,warning
epoch_wls,0,0.249999,nan,nan,nan,,,,nan,,-1635856.124414,5034612.062664,3546734.910197,-85.000000,120.000000,35.000000,120.095000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,1,0.749999,nan,nan,nan,,,,nan,,-1635898.624414,5034672.062664,3546752.410197,-85.000000,120.000000,35.000000,120.285000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,2,1.249999,nan,nan,nan,,,,nan,,-1635941.124414,5034732.062664,3546769.910197,-85.000000,120.000000,35.000000,120.475000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,3,1.749999,nan,nan,nan,,,,nan,,-1635983.624414,5034792.062664,3546787.410197,-85.000000,120.000000,35.000000,120.665000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,4,2.249999,nan,nan,nan,,,,nan,,-1636026.124414,5034852.062664,3546804.910197,-85.000000,120.000000,35.000000,120.855000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,5,2.749999,nan,nan,nan,,,,nan,,-1636068.624414,5034912.062664,3546822.410197,-85.000000,120.000000,35.000000,121.045000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,6,3.249999,-1636180.177150,5034700.583800,3546820.144157,,,,-31.391117,,-1636111.124414,5034972.062664,3546839.910197,-85.000000,120.000000,35.000000,121.235000,0.380000,,,,,,,,,280.819782,,-152.626117,,33.216192,,8,,,
epoch_wls,7,3.749999,-1636197.424516,5034788.111286,3546777.148210,,,,-49.688958,,-1636153.624414,5035032.062664,3546857.410197,-85.000000,120.000000,35.000000,121.425000,0.380000,,,,,,,,,260.523914,,-171.113958,,18.963903,,8,,,
epoch_wls,8,4.249999,-1636153.986088,5035097.748085,3546868.674954,,,,89.543904,,-1636196.124414,5035092.062664,3546874.910197,-85.000000,120.000000,35.000000,121.615000,0.380000,,,,,,,,,42.974886,,-32.071095,,21.475367,,8,,,
epoch_wls,9,4.749999,-1636242.362105,5035251.799935,3546892.473567,,,,154.589111,,-1636238.624414,5035152.062664,3546892.410197,-85.000000,120.000000,35.000000,121.805000,0.380000,,,,,,,,,99.807303,,32.784111,,30.324681,,8,,,
epoch_wls,10,5.249999,-1636289.031728,5035106.667187,3546892.524647,,,,62.389607,,-1636281.124414,5035212.062664,3546909.910197,-85.000000,120.000000,35.000000,121.995000,0.380000,,,,,,,,,107.112041,,-59.605392,,18.840217,,8,,,
epoch_wls,11,5.749999,-1636320.722849,5035202.443174,3546901.723041,,,,51.136338,,-1636323.624414,5035272.062664,3546927.410197,-85.000000,120.000000,35.000000,122.185000,0.380000,,,,,,,,,74.263870,,-71.048662,,49.491368,,8,,,
epoch_wls,12,6.249999,-1636450.941587,5035136.030500,3546896.065271,,,,-12.347071,,-1636366.124414,5035332.062664,3546944.910197,-85.000000,120.000000,35.000000,122.375000,0.380000,,,,,,,,,219.108167,,-134.722071,,40.024949,,8,,,
epoch_wls,13,6.749999,-1636297.757670,5035764.086865,3547073.997400,,,,349.994099,,-1636408.624414,5035392.062664,3546962.410197,-85.000000,120.000000,35.000000,122.565000,0.380000,,,,,,,,,403.912299,,227.429100,,94.524871,,8,,,
epoch_wls,14,7.249999,-1636379.032016,5035538.051923,3547018.553469,,,,153.979767,,-1636451.124414,5035452.062664,3546979.910197,-85.000000,120.000000,35.000000,122.755000,0.380000,,,,,,,,,118.679270,,31.224767,,27.597713,,8,,,
epoch_wls,15,7.749999,-1636368.780120,5035193.174441,3546818.522070,,,,-162.945546,,-1636493.624414,5035512.062664,3546997.410197,-85.000000,120.000000,35.000000,122.945000,0.380000,,,,,,,,,386.363506,,-285.890546,,145.998275,,8,,,
epoch_wls,16,8.249999,-1636598.054987,5035572.035928,3547004.617747,,,,111.063616,,-1636536.124414,5035572.062664,3547014.910197,-85.000000,120.000000,35.000000,123.135000,0.380000,,,,,,,,,62.780021,,-12.071383,,32.487327,,8,,,
epoch_wls,17,8.749999,-1636569.645983,5035797.192816,3547099.185539,,,,250.886042,,-1636578.624414,5035632.062664,3547032.410197,-85.000000,120.000000,35.000000,123.325000,0.380000,,,,,,,,,178.346644,,127.561042,,29.629732,,8,,,
epoch_wls,18,9.249999,-1636625.363835,5035585.224357,3547025.806877,,,,53.252025,,-1636621.124414,5035692.062664,3547049.910197,-85.000000,120.000000,35.000000,123.515000,0.380000,,,,,,,,,109.605504,,-70.262974,,19.300286,,8,,,
epoch_wls,19,9.749999,-1636673.604144,5035841.647593,3547092.240265,,,,209.976328,,-1636663.624414,5035752.062664,3547067.410197,-85.000000,120.000000,35.000000,123.705000,0.380000,,,,,,,,,93.496454,,86.271328,,10.996951,,8,,,
epoch_wls,20,10.249999,-1636733.117621,5035671.208446,3547039.256643,,,,-8.598945,,-1636706.124414,5035812.062664,3547084.910197,-85.000000,120.000000,35.000000,123.895000,0.380000,,,,,,,,,150.508441,,-132.493945,,475.249021,,8,,,
epoch_wls,21,10.749999,-1636854.391933,5036322.853071,3547221.243183,,,,486.626732,,-1636748.624414,5035872.062664,3547102.410197,-85.000000,120.000000,35.000000,124.085000,0.380000,,,,,,,,,478.037695,,362.541732,,836.504788,,8,,,
epoch_wls,22,11.249999,-1636808.973540,5035914.477592,3547018.645314,,,,66.035424,,-1636791.124414,5035932.062664,3547119.910197,-85.000000,120.000000,35.000000,124.275000,0.380000,,,,,,,,,104.318755,,-58.239575,,540.257958,,8,,,
epoch_wls,23,11.749999,-1636273.659015,5033651.861312,3546525.770958,,,,-1878.998617,,-1636833.624414,5035992.062664,3547137.410197,-85.000000,120.000000,35.000000,124.465000,0.380000,,,,,,,,,2482.781942,,-2003.463617,,1123.098345,,8,,,
