case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.151959,0.800000,5.278918,20380966.817561,29.327321,0.151959,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,1.219489,1.740058
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.161944,-0.600000,-4.558707,20615621.653932,30.391380,0.161944,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-6.011188,-5.878419
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.177726,1.100000,7.043522,20939002.933361,32.016009,0.177726,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,7.629869,7.323220
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.201818,-0.900000,-6.188085,21352416.981003,34.378250,0.201818,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-5.455094,-5.970019
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.228067,0.400000,8.835536,21724310.236720,36.814732,0.228067,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,7.040942,6.848014
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.272865,-0.700000,-6.512645,22228246.577451,40.704031,0.272865,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-9.277157,-9.125221
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.331496,1.600000,9.078289,22718526.405628,45.391444,0.331496,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,8.458940,8.696629
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.388122,-1.300000,-6.941556,23068151.693757,49.582544,0.388122,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-3.605802,-3.730972
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.211459,1.040000,4.286791,20357768.645880,35.723259,0.211459,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,70.718783,4.507512
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.242377,-0.780000,-7.712058,20853614.190412,38.560288,0.242377,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-24.491290,-10.502141
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.305659,1.430000,15.368302,21601212.491851,43.909435,0.305659,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-46.150144,17.844533
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.464094,-1.170000,-33.287059,22697190.977583,55.478432,0.464094,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-82.448183,-36.233502
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.823385,0.520000,72.658424,23778721.948115,76.482552,0.823385,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,85.908736,39.190865
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.307059,-0.910000,127.541185,24387226.739599,110.905379,1.307059,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,129.992107,57.116249
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.058210,2.080000,-261.209654,24817720.328578,163.256034,2.058210,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-358.039601,-362.320847
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.812141,-1.690000,438.875921,25038568.874304,199.489055,2.812141,63.394127,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,224.509592,330.263012
