case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.153486,0.800000,5.330346,20380966.870517,29.613036,0.153486,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,1.231370,1.757010
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.163572,-0.600000,-4.603119,20615621.611148,30.687462,0.163572,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-6.069751,-5.935688
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.179513,1.100000,7.112142,20939003.003767,32.327918,0.179513,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,7.704201,7.394565
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.203847,-0.900000,-6.248371,21352416.922746,34.713172,0.203847,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-5.508239,-6.028180
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.230360,0.400000,8.921614,21724310.325091,37.173392,0.230360,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,7.109537,6.914729
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.275608,-0.700000,-6.576093,22228246.516746,41.100581,0.275608,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-9.367537,-9.214121
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.334828,1.600000,9.166732,22718526.497404,45.833661,0.334828,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,8.541350,8.781354
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.392024,-1.300000,-7.009183,23068151.630032,50.065591,0.392024,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-3.640931,-3.767320
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.213584,1.040000,4.328554,20357768.689769,36.071285,0.213584,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,71.407741,4.551425
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.244814,-0.780000,-7.787191,20853614.117715,38.935953,0.244814,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-24.729893,-10.604456
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.308732,1.430000,15.518025,21601212.644646,44.337213,0.308732,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-46.599749,18.018380
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.468759,-1.170000,-33.611351,22697190.657956,56.018918,0.468759,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-83.251414,-36.586499
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.831662,0.520000,73.366283,23778722.664251,77.227667,0.831662,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,86.745680,39.572673
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.320198,-0.910000,128.783728,24387227.995281,111.985850,1.320198,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,131.258521,57.672691
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.078900,2.080000,-263.754432,24817717.804490,164.846520,2.078900,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-361.527725,-365.850679
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.840411,-1.690000,443.151574,25038573.178227,201.432534,2.840411,64.011730,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,226.696840,333.480528
