curve_id,Time_s,Height_km,z_m,ne_m3,original_label
t393_4_h76km,3.934000e+02,7.600000e+01,2.856979e-03,1.294039e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.994173e-03,1.355177e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.131366e-03,1.449198e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.268560e-03,1.554743e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.405753e-03,1.664109e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.542947e-03,1.773784e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.680140e-03,1.885734e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.817334e-03,2.004059e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.954527e-03,2.131355e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,4.091721e-03,2.270943e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,4.228914e-03,2.430198e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,4.366108e-03,2.615739e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,4.503302e-03,2.820297e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,4.640495e-03,3.014018e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,4.777689e-03,3.163611e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,4.914882e-03,3.277283e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,5.052076e-03,3.381489e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,5.189269e-03,3.487873e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,5.326463e-03,3.598490e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,5.463656e-03,3.713555e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,5.600850e-03,3.833371e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,5.738043e-03,3.959566e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,5.875237e-03,4.096279e+15,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,6.012431e-03,4.246404e+15,Time (Hight)=393.4 s (76 km)
