Time_s,AOA_deg
400.000000,2.000000
400.004543,1.876456
400.009085,1.754789
400.013628,1.635091
400.018170,1.517455
400.022713,1.401974
400.027255,1.288740
400.031798,1.177846
400.036341,1.069385
400.040883,0.963450
400.045426,0.860134
400.049968,0.759528
400.054511,0.661726
400.059053,0.566820
400.063596,0.474904
400.068139,0.386069
400.072681,0.300409
400.077224,0.218016
400.081766,0.138983
400.086309,0.063403
400.090851,-0.008632
400.095394,-0.077029
400.099937,-0.141694
400.104479,-0.202537
400.109022,-0.259463
400.113564,-0.312380
400.118107,-0.361196
400.122649,-0.405817
400.127192,-0.446151
400.131735,-0.482105
400.136277,-0.513587
400.140820,-0.540503
400.145362,-0.562762
400.149905,-0.580270
400.154448,-0.592935
400.158990,-0.600664
400.163533,-0.603364
400.168075,-0.600318
400.172618,-0.590943
400.177160,-0.575470
400.181703,-0.554133
400.186246,-0.527163
400.190788,-0.494794
400.195331,-0.457258
400.199873,-0.414788
400.204416,-0.367617
400.208958,-0.315977
400.213501,-0.260102
400.218044,-0.200223
400.222586,-0.136573
400.227129,-0.069386
400.231671,0.001106
400.236214,0.074670
400.240756,0.151074
400.245299,0.230084
400.249842,0.311469
400.254384,0.394996
400.258927,0.480431
400.263469,0.567542
400.268012,0.656096
400.272554,0.745861
400.277097,0.836603
400.281640,0.928091
400.286182,1.020091
400.290725,1.112371
400.295267,1.204698
400.299810,1.296839
400.304352,1.388562
400.308895,1.479633
400.313438,1.569821
400.317980,1.658892
400.322523,1.746613
400.327065,1.832753
400.331608,1.917078
400.336150,1.999355
400.340693,2.079352
400.345236,2.156837
400.349778,2.231575
400.354321,2.303336
400.358863,2.371885
400.363406,2.436990
400.367948,2.498419
400.372491,2.555939
400.377034,2.609317
400.381576,2.658320
400.386119,2.702716
400.390661,2.742272
400.395204,2.776755
400.399747,2.805932
400.404289,2.829571
400.408832,2.847440
400.413374,2.859304
400.417917,2.864932
400.422459,2.864387
400.427002,2.858705
400.431545,2.848128
400.436087,2.832802
400.440630,2.812873
400.445172,2.788486
400.449715,2.759787
400.454257,2.726922
400.458800,2.690035
400.463343,2.649274
400.467885,2.604782
400.472428,2.556707
400.476970,2.505193
400.481513,2.450386
400.486055,2.392432
400.490598,2.331476
400.495141,2.267664
400.499683,2.201142
400.504226,2.132055
400.508768,2.060549
400.513311,1.986769
400.517853,1.910861
400.522396,1.832971
400.526939,1.753244
400.531481,1.671827
400.536024,1.588863
400.540566,1.504500
400.545109,1.418882
400.549651,1.332156
400.554194,1.244467
400.558737,1.155960
400.563279,1.066782
400.567822,0.977077
400.572364,0.886992
400.576907,0.796671
400.581449,0.706262
400.585992,0.615908
400.590535,0.525757
400.595077,0.435953
400.599620,0.346642
400.604162,0.257969
400.608705,0.170081
400.613247,0.083123
400.617790,-0.002759
400.622333,-0.087421
400.626875,-0.170715
400.631418,-0.252497
400.635960,-0.332622
400.640503,-0.410942
400.645046,-0.487314
400.649588,-0.561590
400.654131,-0.633627
400.658673,-0.703277
400.663216,-0.770395
400.667758,-0.834836
400.672301,-0.896454
400.676844,-0.955104
